channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Alex The Analyst,If I got hired today here’s exactly what I would do!,2025-07-11 11:34:46+00:00,236,24,1,1.22,False,Friday,11,52,0.1059322033898305
Alex The Analyst,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-10 14:21:00+00:00,3582,213,14,76.3,False,Thursday,14,54,0.06337241764377442
Alex The Analyst,Reading and Writing Files in R | R for Data Analytics Series,2025-07-08 12:00:56+00:00,1266,49,6,10.33,False,Tuesday,12,60,0.04344391785150079
Alex The Analyst,Operators in R | R for Data Analytics Series,2025-07-01 12:00:58+00:00,2476,76,5,11.8,False,Tuesday,12,44,0.0327140549273021
Alex The Analyst,"Basics of R | Environment, Variables, Data Types | R for Data Analytics Series",2025-06-24 12:00:13+00:00,3353,86,6,11.48,False,Tuesday,12,78,0.027438115120787355
Alex The Analyst,Installing R and R Studio | R for Data Analytics Series,2025-06-17 12:00:48+00:00,4488,152,12,5.98,False,Tuesday,12,55,0.036541889483065956
Alex The Analyst,Best Resources to Learn Data Analytics in 2025,2025-06-10 12:00:19+00:00,19749,862,38,6.78,False,Tuesday,12,46,0.0455719276925414
Alex The Analyst,Best Resources to Learn Data Visualization in 2025,2025-06-03 12:00:19+00:00,11094,323,29,4.47,False,Tuesday,12,50,0.031728862448170185
Alex The Analyst,Best Resources to Learn Excel in 2025,2025-05-27 12:01:27+00:00,12578,604,15,4.82,False,Tuesday,12,37,0.0492129114326602
Alex The Analyst,Best Resources to Learn Python in 2025,2025-05-20 12:01:32+00:00,19578,739,54,5.15,False,Tuesday,12,38,0.04050464807436919
Alex The Analyst,Best Resources to Learn SQL in 2025,2025-05-13 12:00:49+00:00,23692,870,35,6.18,False,Tuesday,12,35,0.03819854803309134
Alex The Analyst,How to Practice for General Technical Interviews | Analyst Builder,2025-05-06 12:01:11+00:00,4560,172,18,10.35,False,Tuesday,12,66,0.041666666666666664
Alex The Analyst,How to Lie with Data | Biased Data Collection,2025-04-29 12:00:46+00:00,3205,101,11,4.37,False,Tuesday,12,45,0.03494539781591264
Alex The Analyst,How to Lie with Data | Correlations,2025-04-22 12:01:50+00:00,3324,127,15,3.55,False,Tuesday,12,35,0.04271961492178099
Alex The Analyst,How to Lie with Data | Cherry Picking Data,2025-04-15 12:00:53+00:00,3715,154,8,4.2,False,Tuesday,12,42,0.04360699865410498
Alex The Analyst,How to Lie with Data | Averages,2025-04-08 12:01:32+00:00,4217,217,14,6.78,False,Tuesday,12,31,0.05477827839696467
Alex The Analyst,How to Lie with Data | Percentages and Baseline Numbers,2025-04-01 12:00:46+00:00,4433,217,9,5.3,False,Tuesday,12,55,0.0509812767877284
Alex The Analyst,1 Million YouTube Play Button Unboxing!,2025-03-25 12:01:10+00:00,3123,237,78,7.67,False,Tuesday,12,39,0.10086455331412104
Alex The Analyst,Maven Analytics + Analyst Builder Lifetime Access (Ends March 31st),2025-03-24 12:00:07+00:00,8752,255,41,5.25,False,Monday,12,67,0.033820840950639856
Alex The Analyst,How to Lie with Data | Misleading Graphs,2025-03-18 12:01:07+00:00,5385,283,22,5.43,False,Tuesday,12,40,0.056638811513463325
Alex The Analyst,Where to find the Best Healthcare Data,2025-03-11 12:00:02+00:00,7741,402,24,7.85,False,Tuesday,12,38,0.05503164965766697
Alex The Analyst,1 Million Subscriber Livestream!! Giveaways + Chat,2025-03-05 17:07:10+00:00,10305,675,68,100.23,False,Wednesday,17,50,0.07210092188258127
