channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Clément Mihailescu,Can I Pass A Software Engineering Quiz Created By ChatGPT?,2025-06-05 13:30:18+00:00,5276,100,31,14.35,False,Thursday,13,58,0.024829416224412433
Clément Mihailescu,The End Of Remote Work,2024-10-07 13:30:29+00:00,27617,539,174,12.62,False,Monday,13,22,0.025817431292319948
Clément Mihailescu,The Era Of The Solo Founder,2024-09-18 13:30:13+00:00,21466,832,106,8.72,False,Wednesday,13,27,0.043697009223888944
Clément Mihailescu,The Coding Bootcamp Apocalypse Of 2024,2024-09-04 13:30:25+00:00,46895,962,277,17.25,False,Wednesday,13,38,0.026420727156413262
Clément Mihailescu,The True Impact Of AI On Software Engineering,2024-08-27 13:30:35+00:00,50692,1262,253,12.73,False,Tuesday,13,45,0.029886372603172097
Clément Mihailescu,My Honest Thoughts On The Software Engineering Market In 2024,2024-08-20 13:30:19+00:00,397615,9605,3054,22.78,False,Tuesday,13,61,0.03183733008060561
Clément Mihailescu,5 Uncomfortable Truths Of Life,2024-08-15 13:30:31+00:00,12051,481,184,10.78,False,Thursday,13,30,0.05518214256078334
Clément Mihailescu,No-BS Advice For People In Their 20s,2024-08-12 13:30:13+00:00,14037,636,121,12.97,False,Monday,13,36,0.05392890218707701
Clément Mihailescu,What My Life Is Like After Running A Successful Business For 7 Years,2024-08-06 13:30:02+00:00,28997,1005,315,17.1,False,Tuesday,13,68,0.04552195054660827
Clément Mihailescu,The Easiest Way To Get A Tech Job In 2024,2024-04-19 13:30:24+00:00,35162,837,149,8.02,False,Friday,13,41,0.028041635856890963
Clément Mihailescu,Why Devin AI WON'T Take Your Job,2024-04-09 13:30:23+00:00,15203,514,82,6.55,False,Tuesday,13,32,0.039202788923238835
Clément Mihailescu,Where I've Been,2023-11-25 00:30:16+00:00,36782,706,125,5.0,False,Saturday,0,15,0.022592572453917676
Clément Mihailescu,The 5 Stages Of A Software Engineer's Life,2023-07-10 13:30:02+00:00,26477,672,103,11.43,False,Monday,13,42,0.029270687766740945
Clément Mihailescu,My Girlfriend Reacts To AlgoExpert Ad Comments,2023-07-03 13:30:05+00:00,92807,720,317,16.67,False,Monday,13,46,0.011173726119796999
Clément Mihailescu,The Dumbest Trend In Tech,2023-06-19 13:30:15+00:00,16560,404,82,11.15,False,Monday,13,25,0.029347826086956522
Clément Mihailescu,Why You Suck At Coding,2023-06-12 13:30:17+00:00,23957,870,80,7.13,False,Monday,13,22,0.039654380765538254
Clément Mihailescu,8 Most Important Character Traits Of Successful People,2023-06-05 13:30:07+00:00,9382,457,38,9.2,False,Monday,13,54,0.05276060541462375
Clément Mihailescu,How To Become A $500K-Per-Year Software Engineer,2023-06-01 13:30:04+00:00,69616,1713,100,11.92,False,Thursday,13,48,0.026042863709492072
Clément Mihailescu,5 Money Lessons After Making Millions,2023-05-29 13:30:12+00:00,13898,666,59,13.77,False,Monday,13,37,0.05216577924881278
Clément Mihailescu,The Pain Of Not Finding A Software Engineering Job,2023-05-25 13:30:20+00:00,107575,2940,413,11.33,False,Thursday,13,50,0.031168951894027422
