channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Academind,"Hard times, great deals! 💰",2024-11-27 14:00:29+00:00,5490,113,12,1.63,False,Wednesday,14,26,0.022768670309653915
Academind,Don't avoid AI as a developer - embrace it!,2024-10-29 16:00:52+00:00,21237,707,54,2.73,False,Tuesday,16,43,0.03583368649055893
Academind,Next.js 15 is here! Does it fix Next 14?,2024-10-22 14:15:26+00:00,60635,1315,108,10.48,False,Tuesday,14,40,0.023468293889667684
Academind,"🤯 Express.js 5 is here (since a month already, actually)",2024-10-16 15:00:00+00:00,51162,1552,85,9.97,False,Wednesday,15,56,0.03199640358078261
Academind,(Un)expected winners & interesting trends,2024-06-21 14:00:16+00:00,16934,459,49,37.27,False,Friday,14,41,0.029998818944136058
Academind,My Angular course just got a HUGE update! 🎉,2024-06-19 14:00:53+00:00,12049,545,65,2.7,False,Wednesday,14,43,0.05062660801726284
Academind,ACT QUICK and GET ACCESS to 49 Courses NOW!,2024-05-28 15:00:28+00:00,3988,98,8,1.63,False,Tuesday,15,43,0.02657973921765296
Academind,Angular 18 is EXACTLY what we needed,2024-05-23 06:28:55+00:00,100336,2464,159,9.25,False,Thursday,6,36,0.026142162334555893
Academind,Time to dive DEEP into the App Router...,2024-04-22 14:30:01+00:00,7609,300,29,2.5,False,Monday,14,40,0.04323827046918123
Academind,CSS Animations & Transitions - What You Need To Know in 6 Minutes,2024-04-17 15:00:07+00:00,8169,340,8,6.65,False,Wednesday,15,65,0.0426000734484025
Academind,Does it work & is it a good idea? 🤔,2024-04-03 15:00:21+00:00,13724,403,22,8.33,False,Wednesday,15,35,0.03096764791605946
Academind,Use JavaScript without writing JavaScript...,2024-03-27 16:00:40+00:00,31629,707,71,2.73,False,Wednesday,16,44,0.02459767934490499
Academind,You might not need useEffect() ...,2024-03-20 16:00:32+00:00,185053,4706,214,21.75,False,Wednesday,16,34,0.026586977784742748
Academind,How To Use It & Why It's Awesome,2024-03-13 16:00:02+00:00,5938,139,11,8.2,False,Wednesday,16,32,0.02526103065005052
Academind,How To Switch Project Easily in Visual Studio Code #visualstudiocode,2024-03-11 12:00:27+00:00,7129,125,1,0.52,True,Monday,12,68,0.017674288118950766
Academind,"How To Enable ""Search Across All Project Files"" in Visual Studio Code #visualstudiocode",2024-03-10 12:00:02+00:00,7131,123,5,0.6,True,Sunday,12,87,0.01794979666245968
Academind,How To Easily Switch Between Project Files in Visual Studio Code #visualstudiocode,2024-03-09 12:00:03+00:00,5570,72,2,0.55,True,Saturday,12,82,0.013285457809694794
Academind,How To Find & Update Keybindings In Visual Studio Code #visualstudiocode,2024-03-08 12:00:32+00:00,2284,56,1,0.68,True,Friday,12,72,0.024956217162872153
Academind,How The Visual Studio Code Command Palette Gives You Access To Everything #visualstudiocode,2024-03-07 21:00:10+00:00,3964,76,3,0.98,True,Thursday,21,91,0.01992936427850656
Academind,10 Visual Studio Code Shortcuts You Should Know in 2024,2024-03-06 16:00:01+00:00,24926,450,16,7.6,False,Wednesday,16,55,0.018695338201075183
Academind,"One codebase, multiple platforms",2024-03-01 16:00:31+00:00,12023,304,11,0.93,True,Friday,16,32,0.026199783747816684
Academind,Announcing: React Strict DOM!,2024-02-29 15:00:50+00:00,12961,448,4,1.0,False,Thursday,15,29,0.0348738523262094
Academind,How React aims to help with cross-platform development,2024-02-28 16:00:30+00:00,15407,384,21,4.55,False,Wednesday,16,54,0.026286752774712794
Academind,What's a Signal? 🤔 #javascript,2024-02-26 14:00:42+00:00,5620,174,3,0.35,True,Monday,14,30,0.03149466192170818
Academind,SolidJS ❤️ Signals  #javascript #webdevelopment,2024-02-23 15:00:54+00:00,5207,153,6,0.75,True,Friday,15,47,0.030535817169195314
Academind,What's the idea behind Signals? 🚦,2024-02-22 16:00:33+00:00,3692,131,8,0.8,True,Thursday,16,33,0.037648970747562294
Academind,Understanding Signals,2024-02-21 16:00:39+00:00,41190,1124,59,8.07,False,Wednesday,16,21,0.028720563243505706
Academind,AI videos DESTROY trust! 😰 #ai #openai #sora,2024-02-19 16:00:03+00:00,9268,269,12,0.72,True,Monday,16,44,0.030319378506689684
Academind,These are GENERATED BY AN AI MODEL? 🤯 #sora #ai #openai,2024-02-17 10:00:17+00:00,8461,179,3,0.62,True,Saturday,10,55,0.02151045975652996
Academind,And then Sora blew my mind ... 🤯 #sora #openai #google #gemini #ai,2024-02-16 16:00:11+00:00,12032,418,18,0.95,True,Friday,16,66,0.03623670212765957
Academind,OpenAI did it again ... with SORA!,2024-02-16 11:25:31+00:00,13838,465,24,4.18,False,Friday,11,34,0.0353374765139471
Academind,10 Essential Git Commands You Should Understand When Working With GitHub,2024-02-14 16:00:04+00:00,9515,309,9,2.77,False,Wednesday,16,72,0.03342091434576984
Academind,Break things and RESET! ☕️ #webdevelopment,2024-02-13 14:00:12+00:00,4089,160,1,0.97,True,Tuesday,14,42,0.03937393005624847
Academind,"React, Angular & Vue are NOT enough! 👨‍💻 #webdevelopment #reactjs #vuejs #angular",2024-02-12 14:00:01+00:00,14598,650,28,1.0,False,Monday,14,81,0.04644471845458282
Academind,This is one of the most popular ways of building websites! #webdevelopment,2024-02-11 14:00:06+00:00,7857,280,7,0.53,True,Sunday,14,74,0.036527936871579486
Academind,Every SERIOUS website needs this! #webdevelopment 🧑‍💻,2024-02-10 14:00:48+00:00,10770,324,7,0.78,True,Saturday,14,53,0.03073351903435469
Academind,You MUST learn the web development holy trinity languages! 🙏 #webdevelopment #html #css #javascript,2024-02-09 14:00:19+00:00,6525,262,4,0.92,True,Friday,14,99,0.04076628352490422
Academind,Every aspiring web developer MUST understand this! #webdeveloper #webdevelopment,2024-02-08 14:00:29+00:00,6115,265,4,0.78,True,Thursday,14,80,0.04399018806214227
