channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Amigoscode,Java's Power: Why It's a Solid Language to Learn #java #programming #coding,2025-07-07 18:01:41+00:00,4231,186,14,0.77,True,Monday,18,75,0.04727014890096904
Amigoscode,java is finally dead,2025-07-07 13:04:27+00:00,73019,2228,288,8.1,False,Monday,13,20,0.034456785220285134
Amigoscode,HTML Tutorial For Beginners - 2025 [NEW],2025-06-02 13:15:15+00:00,5546,238,17,109.57,False,Monday,13,40,0.04597908402452218
Amigoscode,Spring AI Tutorial: Integrate ChatGPT with Spring Boot & OpenAI,2025-05-19 13:05:46+00:00,15472,618,34,20.37,False,Monday,13,63,0.042140641158221304
Amigoscode,Top 10 Spring Boot REST API Best Practices You MUST Know,2025-05-05 13:04:45+00:00,23827,1054,44,13.62,False,Monday,13,56,0.04608217568304864
Amigoscode,The Ultimate Spring Boot Roadmap for Java Developers (2025 Update),2025-04-28 13:21:57+00:00,40220,1469,56,13.38,False,Monday,13,66,0.03791645947289905
Amigoscode,Spring Boot Tutorial for Beginners | Full Course 2025,2025-04-21 13:04:37+00:00,65134,2237,135,71.33,False,Monday,13,53,0.03641723216753155
Amigoscode,It’s Finally Here: Amigoscode 2.0 Has Launched!,2025-04-14 13:27:02+00:00,8126,414,50,7.8,False,Monday,13,47,0.057100664533595864
Amigoscode,Spring Boot and GraphQL Tutorial,2024-07-15 13:06:47+00:00,47657,1402,62,61.37,False,Monday,13,32,0.030719516545313384
Amigoscode,3 SaaS Products I’m About to Release! 👀,2024-07-08 13:14:18+00:00,16673,799,63,11.75,False,Monday,13,39,0.051700353865531096
Amigoscode,Here's The Secret How To Create These Animated Diagrams,2024-01-15 13:15:22+00:00,582477,20037,278,11.2,False,Monday,13,55,0.03487691359487156
Amigoscode,6 Common Ways to Build APIs,2024-01-10 17:16:15+00:00,135150,3649,17,0.18,True,Wednesday,17,27,0.027125416204217535
Amigoscode,Relational Databases (RDBMS) vs. NoSQL in a nutshell,2024-01-08 16:49:40+00:00,14123,514,2,0.23,True,Monday,16,52,0.03653614671103873
Amigoscode,This Should Be Your New Year's Resolution 📈,2023-12-31 13:00:26+00:00,9942,458,8,0.35,True,Sunday,13,43,0.04687185676926172
Amigoscode,Which One is Your Favourite 🤔,2023-12-23 13:30:15+00:00,8045,388,9,0.18,True,Saturday,13,29,0.04934742075823493
Amigoscode,I Need A NEW Cameraman 🤦🏽‍♂️,2023-12-20 14:30:12+00:00,6619,187,6,1.0,False,Wednesday,14,28,0.02915848315455507
Amigoscode,Do You Know These HTTP Status Codes? 👀,2023-12-19 14:30:21+00:00,6085,281,0,0.2,True,Tuesday,14,38,0.04617912900575185
Amigoscode,GIT Made EASY,2023-12-18 14:30:14+00:00,4325,185,2,0.78,True,Monday,14,13,0.04323699421965318
Amigoscode,Java Roadmap 🛣,2023-12-15 14:30:12+00:00,10281,253,4,0.12,True,Friday,14,14,0.024997568329928995
