channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Apna College,Top 5 Placement Tips for Tech Jobs & Internships - 2025,2025-07-09 16:34:52+00:00,91335,5624,394,18.57,False,Wednesday,16,55,0.06588930858925932
Apna College,How this student got placed at American Express ? Key Interview learnings with Shradha ma'am,2025-06-19 16:15:09+00:00,87855,2573,327,39.52,False,Thursday,16,92,0.03300893517728075
Apna College,How he grabbed OFF-Campus Internship at Goldman Sachs ? Key Interview learnings with Shradha ma'am,2025-06-06 16:51:28+00:00,107061,3650,333,38.82,False,Friday,16,98,0.03720308982729472
Apna College,Complete Full Stack Web Development Preparation : MERN Stack + 6 Major Projects | New Delta 7.0,2025-06-04 15:52:36+00:00,179109,6346,758,10.77,False,Wednesday,15,95,0.03966299850928764
Apna College,What are the best Projects for Placements & Internships that will get you Hired?,2025-06-03 17:47:42+00:00,399251,14952,489,16.98,False,Tuesday,17,80,0.038674918785425706
Apna College,How this 3rd year student got selected in Google ? Core branch student,2025-05-29 16:00:52+00:00,96141,3169,216,25.55,False,Thursday,16,70,0.03520870388283875
Apna College,Microsoft Interview Tips - Importance of Projects & DSA,2025-05-28 15:02:30+00:00,228469,10799,108,1.47,False,Wednesday,15,55,0.047739518271625474
Apna College,Tech Placement & Internship preparation QnA for 2025 | New Sigma 8.0 QnA,2025-05-26 16:07:24+00:00,99966,3215,1000,15.12,False,Monday,16,72,0.042164335874197226
Apna College,Google cracked : Interview Tips,2025-05-25 12:00:34+00:00,190996,7961,66,1.07,False,Sunday,12,31,0.042027058158286036
Apna College,Complete Placement Preparation: Full Web Development + DSA + Aptitude | New Sigma 8.0 🚀,2025-05-24 15:29:54+00:00,287798,7213,1213,19.65,False,Saturday,15,87,0.029277479343150403
Apna College,5 Things you should know before Engineering | 2025-26,2025-05-17 16:02:07+00:00,483581,23089,1276,14.87,False,Saturday,16,53,0.05038452710094069
Apna College,How to get Tech Placement in 6 Months? Study plan for Software Engineering Placements,2025-05-10 16:16:42+00:00,574082,23631,1001,17.02,False,Saturday,16,85,0.042906762448570064
Apna College,Complete System Design Roadmap 2025 | HLD & LLD by Shradha Ma'am,2025-05-01 16:28:14+00:00,217363,7646,420,20.55,False,Thursday,16,64,0.03710843151778362
Apna College,How they cracked Rs 12+ LPA at ACCENTURE as Advanced Engineering Application Analyst?,2025-04-17 16:54:37+00:00,98911,2620,218,19.97,False,Thursday,16,85,0.028692460899192203
