channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Bro Code,C Programming Full Course for free ⚙️ (2025),2025-05-02 11:31:00+00:00,245936,7104,780,413.58,False,Friday,11,44,0.032057120551688245
Bro Code,Start C programming in 15 minutes! ⚙️,2025-05-01 19:56:58+00:00,32252,547,59,15.08,False,Thursday,19,37,0.018789532432097234
Bro Code,Arrays of structs are easy! 🗄️,2025-04-25 14:37:00+00:00,5635,141,32,6.68,False,Friday,14,30,0.03070097604259095
Bro Code,Learn variable scope in 5 minutes! 🏠,2025-04-23 14:04:59+00:00,3728,83,17,5.37,False,Wednesday,14,36,0.02682403433476395
Bro Code,Realloc in C explained easy! 🚢,2025-04-22 15:10:16+00:00,2594,70,23,11.85,False,Tuesday,15,30,0.03585196607555898
Bro Code,Calloc in C is easy! 🧹,2025-04-21 14:40:48+00:00,2849,80,20,6.8,False,Monday,14,22,0.0351000351000351
Bro Code,⭐Let's code a DIGITAL CLOCK using C! ⌚,2025-04-15 14:01:20+00:00,6326,205,29,10.18,False,Tuesday,14,38,0.03699019917799557
Bro Code,Malloc in C is easy! 🏢,2025-04-14 13:24:55+00:00,8276,293,17,9.53,False,Monday,13,22,0.0374577090381827
Bro Code,Read files using C programming in 6 minutes! 📖,2025-04-12 14:00:59+00:00,4118,114,18,6.4,False,Saturday,14,46,0.03205439533754249
Bro Code,Write files using C programming in 5 minutes! ✍️,2025-04-11 14:00:55+00:00,3971,123,11,5.92,False,Friday,14,48,0.03374464870309746
Bro Code,Pointers are easy! 👈,2025-04-10 13:25:00+00:00,6631,255,23,8.12,False,Thursday,13,20,0.04192429497813301
Bro Code,Structs in C are easy! 📦,2025-04-09 14:00:51+00:00,4503,143,12,12.25,False,Wednesday,14,24,0.034421496779924496
Bro Code,Learn enums in 8 minutes! 📅,2025-04-08 13:17:00+00:00,3035,91,10,8.87,False,Tuesday,13,27,0.03327841845140033
Bro Code,Learn typedef in 5 minutes! 📛,2025-04-07 18:01:32+00:00,2668,83,9,5.05,False,Monday,18,29,0.034482758620689655
Bro Code,The ternary operator is easy! ❓,2025-04-04 15:23:20+00:00,2609,70,18,8.13,False,Friday,15,31,0.03372939823687236
Bro Code,⭐Let's code a QUIZ GAME using C! 💯,2025-04-03 15:20:28+00:00,3029,79,14,15.12,False,Thursday,15,34,0.03070320237702212
Bro Code,Arrays of strings in C explained! 🧵,2025-04-01 18:06:18+00:00,5110,103,10,12.68,False,Tuesday,18,35,0.022113502935420744
Bro Code,Learn 2D arrays in 8 minutes! ⬜,2025-03-29 15:14:52+00:00,4083,104,13,8.13,False,Saturday,15,31,0.028655400440852314
Bro Code,Initialize an array with user input in C ➡️,2025-03-28 15:05:21+00:00,3525,82,10,5.65,False,Friday,15,43,0.026099290780141844
Bro Code,Arrays in C are easy! 🗃️,2025-03-27 15:15:57+00:00,7933,165,14,11.1,False,Thursday,15,24,0.022563973276188073
Bro Code,⭐ Let's code ROCK PAPER SCISSORS in C! 🗿 📄 ✂️,2025-03-25 13:58:55+00:00,3719,102,15,12.18,False,Tuesday,13,45,0.03146006991126647
Bro Code,⭐Let's code a BANK PROGRAM in C! 💵,2025-03-24 13:43:27+00:00,4846,124,15,15.53,False,Monday,13,34,0.028683450268262484
Bro Code,⭐Let's code a NUMBER GUESSING GAME in C! ↕️,2025-03-23 14:20:26+00:00,3037,68,9,7.48,False,Sunday,14,43,0.025353967731313796
Bro Code,Generate random numbers in C! 🎲,2025-03-22 13:59:32+00:00,4297,110,15,6.03,False,Saturday,13,31,0.02909006283453572
Bro Code,Learn nested loops in 9 minutes! ➿,2025-03-21 17:14:12+00:00,4357,137,16,9.73,False,Friday,17,34,0.03511590543952261
Bro Code,Learn break & continue in 2 minutes! 🛑,2025-03-20 13:07:05+00:00,2519,61,18,2.33,False,Thursday,13,38,0.03136165144898769
Bro Code,Learn C for loops in 6 minutes! 🔂,2025-03-19 17:02:38+00:00,3588,89,7,6.0,False,Wednesday,17,33,0.026755852842809364
Bro Code,While loops in C are easy! ♾️,2025-03-19 13:44:17+00:00,4429,101,13,11.45,False,Wednesday,13,29,0.025739444569880334
Bro Code,Learn function prototypes in 5 minutes! 📌,2025-03-17 17:59:11+00:00,3510,94,10,5.08,False,Monday,17,41,0.02962962962962963
Bro Code,Return statements in C are easy! 🔙,2025-03-14 15:44:45+00:00,4698,125,29,8.35,False,Friday,15,34,0.032779906343124735
Bro Code,Functions in C are easy! 📞,2025-03-12 13:41:38+00:00,5798,173,10,9.95,False,Wednesday,13,26,0.031562607795791654
Bro Code,Logical operators are ❗easy,2025-03-11 14:29:59+00:00,3182,88,11,7.45,False,Tuesday,14,27,0.031112507856693904
Bro Code,⭐Let's code a compound interest calculator in C! 💰,2025-03-10 15:36:20+00:00,3392,101,8,7.73,False,Monday,15,50,0.032134433962264154
Bro Code,⭐Let's code a calculator in C! 🖩,2025-03-09 15:52:06+00:00,3635,80,12,7.8,False,Sunday,15,32,0.02530949105914718
Bro Code,Nested if statements are easy! 🎟️,2025-03-08 16:20:16+00:00,3695,97,12,8.03,False,Saturday,16,33,0.02949932341001353
Bro Code,Switches in C are easy! 💡,2025-03-06 23:41:10+00:00,3723,110,13,8.13,False,Thursday,23,25,0.033037872683319904
Bro Code,⭐Let's code a temperature program in C! 🌡️,2025-03-05 14:50:06+00:00,2800,70,14,7.85,False,Wednesday,14,42,0.03
Bro Code,⭐ Let's code a weight converter in C! 🏋️,2025-03-05 13:26:09+00:00,2288,65,7,7.18,False,Wednesday,13,40,0.03146853146853147
Bro Code,If statements are easy! 🤔,2025-03-04 17:21:50+00:00,4019,96,11,10.92,False,Tuesday,17,25,0.026623538193580494
Bro Code,⭐Let's code a mad libs game! 📖,2025-03-02 15:57:36+00:00,5232,151,26,9.8,False,Sunday,15,30,0.0338302752293578
Bro Code,⭐Let's code a C circle calculator program ⚪,2025-03-02 13:59:30+00:00,3718,101,18,6.08,False,Sunday,13,43,0.03200645508337816
Bro Code,Learn C math functions in 5 minutes! 🧮,2025-03-01 15:39:32+00:00,4278,122,14,5.25,False,Saturday,15,38,0.031790556334735855
Bro Code,⭐ Let's code a shopping cart program 🛒,2025-02-28 14:00:57+00:00,7139,186,22,8.73,False,Friday,14,38,0.029135733295979828
Bro Code,Learn how to enter user input in C! ⌨️,2025-02-27 18:14:21+00:00,9103,238,30,16.25,False,Thursday,18,38,0.029440843677908383
Bro Code,Learn C arithmetic operators in 6 minutes! ➗,2025-02-25 14:16:28+00:00,6823,176,27,6.42,False,Tuesday,14,44,0.02975230836875275
Bro Code,Format specifiers are easy! 🛠️,2025-02-24 14:10:45+00:00,8969,236,24,9.15,False,Monday,14,30,0.028988738989853942
Bro Code,Learn C programming variables easy! ❎,2025-02-23 18:28:49+00:00,17716,446,46,20.05,False,Sunday,18,37,0.02777150598329194
Bro Code,Java Full Course for free ☕ (2025),2025-01-02 15:06:40+00:00,1350859,28320,2256,720.0,False,Thursday,15,34,0.022634486648865648
Bro Code,Start coding with JAVA in 10 minutes! ☕,2024-12-30 18:03:32+00:00,141439,1930,167,10.98,False,Monday,18,39,0.014826179483735038
Bro Code,⭐ Let's code an ALARM CLOCK with Java! ⏰,2024-12-29 02:42:22+00:00,13467,347,35,29.5,False,Sunday,2,40,0.02836563451399718
Bro Code,Learn Java MULTITHREADING in 8 minutes! 🧶,2024-12-27 20:27:26+00:00,12340,323,21,8.02,False,Friday,20,41,0.02787682333873582
Bro Code,⭐ Let's code a HANGMAN GAME with Java! 🕺,2024-12-26 18:40:00+00:00,9832,236,26,28.58,False,Thursday,18,40,0.026647681041497152
Bro Code,Learn Java THREADING in 10 minutes! 🧵,2024-12-25 11:39:35+00:00,13245,402,25,10.35,False,Wednesday,11,37,0.03223858059645149
Bro Code,Learn Java ENUMS in 10 minutes! 📅,2024-12-23 17:00:28+00:00,10105,275,19,10.17,False,Monday,17,33,0.029094507669470557
Bro Code,Learn Java HASHMAPS in 10 minutes! 🗺️,2024-12-22 18:43:18+00:00,18454,561,22,10.52,False,Sunday,18,37,0.03159206676059391
Bro Code,Learn Java GENERICS in 13 minutes! 📦,2024-12-21 19:29:33+00:00,29100,958,26,13.93,False,Saturday,19,36,0.033814432989690724
Bro Code,⭐ Let's code a Java COUNTDOWN TIMER in 6 minutes! ⏳,2024-12-20 14:39:18+00:00,6282,144,21,6.57,False,Friday,14,51,0.02626552053486151
Bro Code,Learn Java TIMERTASKS in 6 minutes! ⏲️,2024-12-19 20:53:31+00:00,3722,94,12,6.4,False,Thursday,20,38,0.028479312197743148
Bro Code,Learn Java ANONYMOUS CLASSES in 5 minutes! 🕵️‍♂️,2024-12-19 19:03:43+00:00,4598,156,13,5.03,False,Thursday,19,48,0.036755110917790344
Bro Code,Learn DATES & TIMES with Java in 8 minutes! 📆,2024-12-17 17:54:52+00:00,8852,255,26,8.73,False,Tuesday,17,45,0.03174423859014912
Bro Code,⭐ Let's code a MUSIC PLAYER with Java! 🎼,2024-12-16 01:50:08+00:00,14412,422,29,14.37,False,Monday,1,40,0.03129336663891202
Bro Code,How to READ FILES with Java in 8 minutes! 📖,2024-12-14 19:21:27+00:00,10569,232,16,6.9,False,Saturday,19,43,0.023464850033115717
Bro Code,How to WRITE FILES with Java in 8 minutes! ✍,2024-12-12 20:20:45+00:00,11654,287,23,8.53,False,Thursday,20,44,0.02660030890681311
Bro Code,Learn EXCEPTION HANDLING in 8 minutes! ⚠️,2024-12-09 15:50:41+00:00,9152,282,32,8.03,False,Monday,15,41,0.03430944055944056
Bro Code,Learn Java ARRAYLISTS in 9 minutes! 📃,2024-12-08 15:49:38+00:00,16832,451,32,9.67,False,Sunday,15,37,0.028695342205323195
Bro Code,Learn WRAPPER CLASSES in 10 minutes! 🎁,2024-12-06 15:24:28+00:00,8514,252,16,10.6,False,Friday,15,38,0.03147756636128729
Bro Code,Learn COMPOSITION in 6 minutes! ⚙️,2024-12-05 17:02:30+00:00,11719,334,28,6.28,False,Thursday,17,34,0.030890007679836164
Bro Code,Learn AGGREGATION in 9 minutes! 🏫,2024-12-05 17:02:26+00:00,11363,300,11,9.43,False,Thursday,17,33,0.027369532693830856
Bro Code,Learn GETTER and SETTERS in 10 minutes! 🔐,2024-12-05 17:02:22+00:00,27814,926,50,10.1,False,Thursday,17,41,0.035090242324009494
Bro Code,Learn RUNTIME POLYMORPHISM in 5 minutes! 🤷‍♂️,2024-12-05 17:02:20+00:00,5947,152,14,5.17,False,Thursday,17,45,0.027913233563141078
Bro Code,Learn POLYMORPHISM in 6 minutes! 🎭,2024-12-05 17:02:17+00:00,9013,222,11,6.77,False,Thursday,17,34,0.025851547764340396
Bro Code,Learn INTERFACES in 6 minutes! 📋,2024-12-05 17:02:15+00:00,18636,707,47,6.27,False,Thursday,17,32,0.04045932603562996
Bro Code,Learn ABSTRACTION in 9 minutes! 🌫️,2024-12-05 17:02:11+00:00,10383,284,14,9.57,False,Thursday,17,34,0.0287007608590966
