channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
KnowledgeGATE by Sanchit Sir,🚀 NetResultPredictor Launched by KnowledgeGate! 📄 Paste Your Link & Instantly Know Your NET Result,2025-07-10 15:18:19+00:00,749,23,17,10.72,False,Thursday,15,98,0.0534045393858478
KnowledgeGATE by Sanchit Sir,MERA PLACEMENT HOGA अनुशासन - New Live Batch Starting on 9th July | Complete Placement Preparation,2025-07-09 17:00:17+00:00,601,11,7,34.18,False,Wednesday,17,98,0.029950083194675542
KnowledgeGATE by Sanchit Sir,5th July — “✅ This is EXACTLY What You Get in Our NET Batch (with Proof!)”,2025-07-07 16:18:08+00:00,779,17,3,1.67,False,Monday,16,74,0.025673940949935817
KnowledgeGATE by Sanchit Sir,4th July — “🚨UGC-NET Myths Busted: You’re Being Misguided!”,2025-07-05 05:09:49+00:00,1664,29,2,54.68,False,Saturday,5,59,0.018629807692307692
KnowledgeGATE by Sanchit Sir,🔥 UGC NET 2025 CSE Batch Launch 💥 | Classes Start 7th July 🚀  | Mentored by Sanchit Sir,2025-07-04 06:48:14+00:00,1323,42,17,11.43,False,Friday,6,87,0.044595616024187455
KnowledgeGATE by Sanchit Sir,3rd July — “📉Low Salary After PG? UGC NET is Your Escape Plan!”,2025-07-04 06:33:47+00:00,1418,29,0,92.1,False,Friday,6,63,0.020451339915373765
KnowledgeGATE by Sanchit Sir,3 July: Tell Me Anything Session - 11 in GATE Guidance Batch-2026,2025-07-04 02:30:28+00:00,1138,28,0,97.85,False,Friday,2,65,0.02460456942003515
KnowledgeGATE by Sanchit Sir,2nd July — “💥UGC NET: A Career-Changing Exam Nobody Told You About!”,2025-07-03 05:23:54+00:00,1679,43,10,39.75,False,Thursday,5,68,0.03156640857653365
KnowledgeGATE by Sanchit Sir,📢 New UGC NET PhD-Only Category in 2024! 🎓 10% Qualified | Best Batch Starts 7 July 🚀,2025-07-01 12:30:17+00:00,1102,35,9,1.83,False,Tuesday,12,85,0.039927404718693285
KnowledgeGATE by Sanchit Sir,"📉 UGC NET CS: 60,000 Apply, Only 200 Get JRF! Why Most Fail & How You Can Crack It 🚀 | Batch 7 July",2025-06-30 12:30:15+00:00,1514,57,2,1.5,False,Monday,12,99,0.03896961690885073
KnowledgeGATE by Sanchit Sir,⏱️ UGC NET CS: 150 Questions in 180 Mins! New Pattern Strategy for 2025 | Batch Starts 7 July 🚀,2025-06-29 12:30:54+00:00,1428,45,3,1.28,False,Sunday,12,95,0.03361344537815126
KnowledgeGATE by Sanchit Sir,🎯 60% PhD Seats Reserved for NET JRF! 📢 MCA/MSc/MTech Must Watch | Batch Starts 7 July 🚀,2025-06-28 12:31:11+00:00,1792,75,2,1.38,False,Saturday,12,88,0.04296875
KnowledgeGATE by Sanchit Sir,🎓 MCA/MSc/MTech? Prepare for UGC NET CS 🚀 | New Batch Starts 7 July | Live + Test Series!,2025-06-27 12:30:49+00:00,1588,57,1,0.9,True,Friday,12,89,0.036523929471032744
KnowledgeGATE by Sanchit Sir,All About NET Exam | Latest updates for 2025 | NTA UGC NET Details,2025-06-27 12:30:37+00:00,3363,119,48,58.0,False,Friday,12,66,0.04965804341361879
