channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Learn to Code with CodeChef,C++ Multiple Inputs & Test Cases,2025-07-09 09:19:29+00:00,23,0,0,1.62,False,Wednesday,9,32,0.0
Learn to Code with CodeChef,C++ Pointers,2025-07-09 09:18:37+00:00,10,0,0,2.25,False,Wednesday,9,12,0.0
Learn to Code with CodeChef,C++ Functions,2025-07-09 09:17:09+00:00,9,0,0,2.45,False,Wednesday,9,13,0.0
Learn to Code with CodeChef,C++ Fibonacci Series,2025-07-09 09:16:15+00:00,13,0,0,3.27,False,Wednesday,9,20,0.0
Learn to Code with CodeChef,C++ Prime Number Check,2025-07-09 09:15:52+00:00,5,0,0,2.88,False,Wednesday,9,22,0.0
Learn to Code with CodeChef,C++ Count of Digit,2025-07-09 09:14:25+00:00,5,0,0,2.28,False,Wednesday,9,18,0.0
Learn to Code with CodeChef,C++ Sum of Integers,2025-07-09 09:13:28+00:00,5,0,0,2.3,False,Wednesday,9,19,0.0
Learn to Code with CodeChef,C++ Continue Statement,2025-07-09 09:12:34+00:00,3,0,0,2.82,False,Wednesday,9,22,0.0
Learn to Code with CodeChef,C++ Break Statement,2025-07-09 09:12:19+00:00,12,1,0,2.23,False,Wednesday,9,19,0.08333333333333333
Learn to Code with CodeChef,C++ Loops Intro,2025-07-09 09:10:45+00:00,3,0,0,3.37,False,Wednesday,9,15,0.0
Learn to Code with CodeChef,C++ Arrays,2025-07-09 09:09:21+00:00,4,0,0,2.43,False,Wednesday,9,10,0.0
Learn to Code with CodeChef,C++ Switch Statement,2025-07-09 09:08:27+00:00,5,0,0,3.12,False,Wednesday,9,20,0.0
Learn to Code with CodeChef,C++ Else If,2025-07-09 09:07:54+00:00,8,0,0,2.5,False,Wednesday,9,11,0.0
Learn to Code with CodeChef,C++ If Else,2025-07-09 09:05:35+00:00,6,0,0,1.65,False,Wednesday,9,11,0.0
Learn to Code with CodeChef,C++ User Input,2025-07-09 09:04:37+00:00,37,0,0,2.35,False,Wednesday,9,14,0.0
Learn to Code with CodeChef,C++ String Comparison,2025-07-09 09:03:23+00:00,15,0,0,1.85,False,Wednesday,9,21,0.0
Learn to Code with CodeChef,C++ String Operations,2025-07-09 09:02:32+00:00,27,1,0,2.1,False,Wednesday,9,21,0.037037037037037035
Learn to Code with CodeChef,Taking multiple test cases in Java,2025-07-08 05:21:05+00:00,18,0,0,1.63,False,Tuesday,5,34,0.0
Learn to Code with CodeChef,Java Continue Statement,2025-07-08 05:19:43+00:00,9,0,0,2.38,False,Tuesday,5,23,0.0
Learn to Code with CodeChef,Functions in Java,2025-07-07 13:13:21+00:00,43,0,0,2.67,False,Monday,13,17,0.0
Learn to Code with CodeChef,Arrays in Java,2025-07-07 13:11:50+00:00,26,0,0,2.5,False,Monday,13,14,0.0
Learn to Code with CodeChef,Java Fibonacci Series,2025-07-07 13:10:55+00:00,36,1,1,3.32,False,Monday,13,21,0.05555555555555555
Learn to Code with CodeChef,Prime Number Using Loop in Java,2025-07-07 13:10:08+00:00,25,3,0,2.92,False,Monday,13,31,0.12
Learn to Code with CodeChef,Java Count of N Integer,2025-07-07 13:08:39+00:00,8,0,0,2.27,False,Monday,13,23,0.0
