channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Codevolution,Best AI Coding Tools for Developers in 2025,2025-06-30 10:01:28+00:00,38467,1163,35,8.38,False,Monday,10,43,0.031143577611979098
Codevolution,I Hired 2 AI Agents as Junior Developers (They're Better Than Me),2025-06-24 17:00:43+00:00,11096,484,67,13.28,False,Tuesday,17,65,0.04965753424657534
Codevolution,Introducing Fusion! Visual AI Canvas for Vibe Coding,2025-06-18 14:11:45+00:00,3466,126,12,8.9,False,Wednesday,14,52,0.03981534910559723
Codevolution,Expo Router - 15 - API Routes,2025-04-01 15:01:22+00:00,6747,143,10,14.02,False,Tuesday,15,29,0.02267674522009782
Codevolution,Expo Router Tutorial - 14 - Platform-specific Code,2025-04-01 10:30:09+00:00,2202,65,3,5.6,False,Tuesday,10,50,0.030881017257039057
Codevolution,Expo Router Tutorial - 13 - Modals,2025-03-31 15:00:52+00:00,2697,80,5,5.75,False,Monday,15,34,0.03151649981460882
Codevolution,Expo Router Tutorial - 12 - Drawer Navigation,2025-03-31 10:30:31+00:00,3111,90,3,6.85,False,Monday,10,45,0.029893924783027964
Codevolution,Expo Router Tutorial - 11 - Tab Navigation,2025-03-30 15:00:11+00:00,3417,102,8,9.73,False,Sunday,15,42,0.03219198127011999
Codevolution,Expo Router Tutorial - 10 - Stack Navigation,2025-03-30 10:30:30+00:00,3568,101,5,8.5,False,Sunday,10,44,0.029708520179372196
Codevolution,Expo Router Tutorial - 9 - Navigation,2025-03-28 10:30:10+00:00,3302,98,5,8.33,False,Friday,10,37,0.03119321623258631
Codevolution,Expo Router Tutorial - 8 - Route Groups,2025-03-27 15:00:33+00:00,3158,105,5,6.57,False,Thursday,15,39,0.03483217226092464
Codevolution,Expo Router Tutorial - 7 - Layouts,2025-03-27 10:30:28+00:00,3439,107,11,5.47,False,Thursday,10,34,0.03431230008723466
Codevolution,Expo Router Tutorial - 6 - Not found Route,2025-03-26 15:30:01+00:00,2291,79,6,4.77,False,Wednesday,15,42,0.037101702313400264
Codevolution,Expo Router Tutorial - 5 - Catch all Segments,2025-03-26 10:30:08+00:00,2453,91,7,6.0,False,Wednesday,10,45,0.03995108030982471
Codevolution,Expo Router Tutorial - 4 - Dynamic Routes,2025-03-25 15:30:16+00:00,5016,140,8,6.23,False,Tuesday,15,41,0.029505582137161084
Codevolution,Expo Router Tutorial - 3 - File-based Routing,2025-03-25 10:30:18+00:00,5268,157,8,7.25,False,Tuesday,10,45,0.03132118451025057
Codevolution,Expo Router Tutorial - 2 - Project Setup,2025-03-24 15:01:18+00:00,5608,172,14,4.5,False,Monday,15,40,0.03316690442225392
Codevolution,Expo Router Tutorial - 1 - Introduction,2025-03-24 11:00:53+00:00,11447,304,26,4.55,False,Monday,11,39,0.02882851402114091
Codevolution,Next.js 15 Full Tutorial - Beginner to Advanced,2025-02-17 12:30:42+00:00,182807,4675,219,414.15,False,Monday,12,47,0.02677140372086408
