channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Coding Ninjas,Prompt Engineering Explained by Amazon SDE | Must-Have GenAI Skill for Devs,2025-07-11 09:12:00+00:00,0,0,0,0.0,True,Friday,9,75,
Coding Ninjas,Gen AI projects for Developers in 2025,2025-07-10 12:30:32+00:00,876,21,5,0.78,True,Thursday,12,38,0.02968036529680365
Coding Ninjas,"Difference Between AI, Machine Learning, Deep Learning & Gen AI Explained",2025-07-06 12:30:50+00:00,765,18,0,1.37,False,Sunday,12,73,0.023529411764705882
Coding Ninjas,What is LangChain? For GenAI Developers (2025),2025-07-05 12:30:34+00:00,443,12,0,4.22,False,Saturday,12,46,0.02708803611738149
Coding Ninjas,Every Developer Should Know These Prompts!,2025-07-03 13:01:42+00:00,610,14,1,0.78,True,Thursday,13,42,0.02459016393442623
Coding Ninjas,Tell us your pick in the comments!,2025-06-30 12:55:24+00:00,1861,22,4,0.93,True,Monday,12,34,0.013970983342289092
Coding Ninjas,LangChain Made Easy for Developers!,2025-06-29 12:30:05+00:00,735,16,0,0.95,True,Sunday,12,35,0.021768707482993196
Coding Ninjas,"Difference between AI, Machine Learning, Deep Learning and Gen AI | Easy Explanation",2025-06-28 12:31:11+00:00,369,14,2,3.22,False,Saturday,12,84,0.04336043360433604
Coding Ninjas,What is Gen AI?,2025-06-26 12:30:44+00:00,608,11,3,0.98,True,Thursday,12,15,0.023026315789473683
Coding Ninjas,RAG vs Fine-Tuning: Which one should you use?,2025-06-22 12:30:39+00:00,1058,20,2,1.23,False,Sunday,12,45,0.020793950850661626
Coding Ninjas,RAG vs Fine-Tuning | Which is Better for AI Models?,2025-06-21 12:47:49+00:00,304,6,0,3.12,False,Saturday,12,51,0.019736842105263157
Coding Ninjas,Are Agentic AI & Generative AI the same?,2025-06-19 12:51:11+00:00,1014,19,1,1.37,False,Thursday,12,40,0.01972386587771203
Coding Ninjas,Gen AI vs Agentic AI? 🤔 Easy Explanation with Examples,2025-06-14 12:30:34+00:00,544,16,0,4.6,False,Saturday,12,54,0.029411764705882353
Coding Ninjas,Start Your Gen AI journey with This Roadmap!,2025-06-14 12:30:26+00:00,773,13,0,0.83,True,Saturday,12,44,0.016817593790426907
Coding Ninjas,Will AI Replace Coders? Not If You Know This!,2025-06-12 13:00:07+00:00,1354,26,1,1.27,False,Thursday,13,45,0.019940915805022157
Coding Ninjas,Typescript Rewritten in Go? Here’s what it means for you !,2025-06-08 12:30:12+00:00,1313,19,0,0.82,True,Sunday,12,58,0.014470677837014471
Coding Ninjas,Gen AI Roadmap 2025 for Developers | From Beginner to Gen AI Pro,2025-06-07 12:30:50+00:00,851,23,2,5.43,False,Saturday,12,64,0.02937720329024677
Coding Ninjas,If only tech questions were this easy😆,2025-06-05 12:57:14+00:00,4771,49,0,0.82,True,Thursday,12,38,0.010270383567386292
Coding Ninjas,Frontend Skills and Tools that matter in 2025,2025-06-01 07:06:09+00:00,1561,29,0,0.62,True,Sunday,7,45,0.018577834721332478
