channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Corey Schafer,Python Tutorial: Type Hinting vs Type Checking vs Data Validation - What’s the Difference?,2025-05-29 16:45:15+00:00,18812,1062,72,18.27,False,Thursday,16,90,0.06028067191154582
Corey Schafer,Python Tutorial: Ruff - A Fast Linter & Formatter to Replace Multiple Tools and Improve Code Quality,2025-05-19 20:37:50+00:00,42831,1728,85,35.78,False,Monday,20,100,0.04232915411734491
Corey Schafer,"Python Tutorial: UV - A Faster, All-in-One Package Manager to Replace Pip and Venv",2025-04-30 16:35:32+00:00,131924,4752,280,27.03,False,Wednesday,16,82,0.038143173342227346
Corey Schafer,I Let Python Pick My March Madness Bracket - Bracket Simulation Tutorial,2025-03-17 22:18:39+00:00,14979,510,57,24.08,False,Monday,22,72,0.03785299419186862
Corey Schafer,Python Tutorial: Generate a Web Portfolio and Resume from One JSON File,2025-03-11 20:28:42+00:00,31893,1184,79,24.17,False,Tuesday,20,71,0.0396011664001505
Corey Schafer,How to Deploy a Static Website to GitHub Pages - Free Hosting Tutorial,2025-03-10 18:22:20+00:00,38530,1186,83,23.88,False,Monday,18,70,0.03293537503244225
Corey Schafer,Python Tutorial: Pathlib - The Modern Way to Handle File Paths,2024-09-23 12:01:00+00:00,47873,2025,92,34.85,False,Monday,12,62,0.044221168508344996
Corey Schafer,Python Tkinter Tutorial (Part 2): Using Classes for Functionality and Organization,2024-08-15 19:30:04+00:00,34845,1202,91,34.77,False,Thursday,19,82,0.037107188979767544
Corey Schafer,"Python Tkinter Tutorial (Part 1): Getting Started, Elements, Layouts, and Events",2024-07-27 18:33:48+00:00,108604,2989,210,41.13,False,Saturday,18,80,0.029455636993112592
Corey Schafer,Automating My Bill Payments with Python and Selenium,2024-06-01 18:51:55+00:00,55959,1870,161,78.5,False,Saturday,18,52,0.036294429850426205
Corey Schafer,Python Quick Tip: Secure Passwords and Sensitive Info with DotEnv #Shorts #Python #Programming,2024-04-17 21:52:16+00:00,27445,1331,26,0.92,True,Wednesday,21,94,0.04944434323191838
Corey Schafer,Python Tutorial: Securely Manage Passwords and API Keys with DotEnv,2024-04-17 21:30:03+00:00,41991,1985,175,16.97,False,Wednesday,21,67,0.05143959419875688
Corey Schafer,Automate Your Development Environment Setup with Scripts and Dotfiles,2024-03-05 22:57:56+00:00,63192,2458,292,30.15,False,Tuesday,22,69,0.04351816685656412
Corey Schafer,How to Use ChatGPT as a Powerful Tool for Programming,2023-05-21 21:00:10+00:00,316604,8503,454,31.13,False,Sunday,21,53,0.028290861770539855
Corey Schafer,Python Tutorial: Simulate the Powerball Lottery Using Python,2023-01-09 18:45:00+00:00,151847,4451,750,38.93,False,Monday,18,60,0.03425158218469907
Corey Schafer,Python YouTube API Tutorial: Using OAuth to Access User Accounts,2020-09-10 14:15:03+00:00,149942,2798,354,43.35,False,Thursday,14,64,0.021021461631830975
Corey Schafer,Python YouTube API Tutorial: Sort a Playlist by Most Popular Videos,2020-07-31 14:30:00+00:00,48995,1153,129,22.13,False,Friday,14,67,0.026165935299520358
Corey Schafer,Python YouTube API Tutorial: Calculating the Duration of a Playlist,2020-06-10 15:53:26+00:00,61466,1680,176,37.63,False,Wednesday,15,67,0.0301955552663261
Corey Schafer,Python YouTube API Tutorial: Getting Started - Creating an API Key and Querying the API,2020-05-29 16:17:07+00:00,229284,6068,330,20.82,False,Friday,16,87,0.02790425847420666
Corey Schafer,Python Tutorial: Real World Example - Using Patreon API and Pillow to Automate Image Creation,2020-05-11 13:00:10+00:00,42788,973,87,52.55,False,Monday,13,93,0.024773300925493128
Corey Schafer,"Python Pandas Tutorial (Part 11): Reading/Writing Data to Different Sources - Excel, JSON, SQL, Etc",2020-04-01 16:30:04+00:00,194596,4907,352,32.75,False,Wednesday,16,99,0.027025221484511502
Corey Schafer,"Live Stream - Chat, Q&A, Brews, and Coding",2020-03-23 19:47:33+00:00,80387,2926,262,61.35,False,Monday,19,42,0.03965815368156543
Corey Schafer,Python Pandas Tutorial (Part 10): Working with Dates and Time Series Data,2020-03-17 19:02:48+00:00,348303,8188,456,35.68,False,Tuesday,19,73,0.024817472143507234
Corey Schafer,Python Pandas Tutorial (Part 9): Cleaning Data - Casting Datatypes and Handling Missing Values,2020-02-24 14:00:04+00:00,251313,6133,185,31.9,False,Monday,14,94,0.0251399649043225
Corey Schafer,Python Pandas Tutorial (Part 8): Grouping and Aggregating - Analyzing and Exploring Your Data,2020-02-14 14:38:33+00:00,456465,10405,747,49.1,False,Friday,14,93,0.024431226928680185
Corey Schafer,Python Pandas Tutorial (Part 7): Sorting Data,2020-02-06 14:30:02+00:00,203929,5831,185,15.67,False,Thursday,14,45,0.0295004633965743
Corey Schafer,Python Pandas Tutorial (Part 6): Add/Remove Rows and Columns From DataFrames,2020-02-01 22:39:16+00:00,304646,6592,258,16.92,False,Saturday,22,76,0.022485113869868633
Corey Schafer,Python Pandas Tutorial (Part 5): Updating Rows and Columns - Modifying Data Within DataFrames,2020-01-24 19:15:01+00:00,440238,9770,367,40.05,False,Friday,19,93,0.023026181292846143
Corey Schafer,Python Pandas Tutorial (Part 4): Filtering - Using Conditionals to Filter Rows and Columns,2020-01-17 14:00:06+00:00,490837,11434,336,23.07,False,Friday,14,90,0.023979447352175977
Corey Schafer,"Python Pandas Tutorial (Part 3): Indexes - How to Set, Reset, and Use Indexes",2020-01-13 19:45:00+00:00,440535,10426,217,17.45,False,Monday,19,77,0.024159260898680014
Corey Schafer,Python Pandas Tutorial (Part 2): DataFrame and Series Basics - Selecting Rows and Columns,2020-01-10 19:15:00+00:00,715183,16043,388,33.58,False,Friday,19,89,0.02297453938362629
