channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Data Professor,Bioinformatics Project from Scratch PART 2 - Preparing the Data Set,2025-06-01 05:16:42+00:00,1729,87,8,21.38,False,Sunday,5,67,0.054945054945054944
Data Professor,Building a Call Center Analytics Pipeline in Python,2025-04-30 16:49:00+00:00,1731,78,7,29.03,False,Wednesday,16,51,0.049104563835932986
Data Professor,How to Quickly Leverage Computer Vision in Python,2025-02-11 07:33:44+00:00,2131,80,5,8.37,False,Tuesday,7,49,0.03988737681839512
Data Professor,From DNA to UI: Connecting the Dots between Theory and Application in Bioinformatics,2024-12-30 18:29:34+00:00,3310,102,21,25.62,False,Monday,18,84,0.03716012084592145
Data Professor,Code Your Own Multilingual AI in Python that speaks 32 languages,2024-12-10 01:05:00+00:00,1860,62,7,10.07,False,Tuesday,1,64,0.037096774193548385
Data Professor,Bioinformatics Project from Scratch PART 1 - Collecting the Data Set,2024-11-28 15:00:54+00:00,4484,212,45,8.13,False,Thursday,15,68,0.057314897413024084
Data Professor,Using Google Colab for Data Science and AI,2024-11-13 04:22:43+00:00,10661,287,21,23.12,False,Wednesday,4,42,0.028890347997373604
Data Professor,Building a YouTube AI assistant for content creators with Python,2024-10-27 22:58:54+00:00,1558,61,8,9.92,False,Sunday,22,64,0.044287548138639284
Data Professor,Data Science Podcast with Sebastian Flores,2024-10-19 15:56:39+00:00,1512,41,0,42.32,False,Saturday,15,42,0.027116402116402115
Data Professor,How to level up in Gen AI,2024-09-27 14:00:08+00:00,1598,52,10,18.7,False,Friday,14,25,0.03879849812265332
Data Professor,Code your own YouTube AI assistant in Python,2024-08-16 15:57:31+00:00,2430,98,17,11.12,False,Friday,15,44,0.047325102880658436
Data Professor,Data Storytelling in Python,2024-07-27 17:53:35+00:00,2917,91,0,66.3,False,Saturday,17,27,0.031196434693177923
Data Professor,How I Would learn Python?,2024-07-21 13:00:02+00:00,1277,76,1,0.83,True,Sunday,13,25,0.060297572435395456
Data Professor,Advice for newcomers to Tech (Ft. Cheuk Ting Ho),2024-07-19 13:00:21+00:00,806,0,0,0.57,True,Friday,13,48,0.0
Data Professor,Tips for Learning Python (Ft. Cheuk Ting Ho),2024-07-17 13:00:53+00:00,579,0,0,0.9,True,Wednesday,13,44,0.0
Data Professor,On Choosing a Programming Language to Learn!,2024-07-16 03:30:34+00:00,1017,37,1,0.93,True,Tuesday,3,44,0.03736479842674533
Data Professor,Exploring Data Science Salaries Using R and the tidyverse,2024-07-15 03:41:32+00:00,2505,92,6,21.83,False,Monday,3,57,0.03912175648702595
Data Professor,Learning Python and breaking into Tech,2024-07-14 17:53:27+00:00,865,0,1,0.65,True,Sunday,17,38,0.0011560693641618498
Data Professor,From Social Sciences to Tech (Ft. Data Engineer Sergio),2024-06-26 13:00:50+00:00,1036,45,0,1.55,False,Wednesday,13,55,0.04343629343629344
Data Professor,Learning Python (Ft. Data Scientist Nick Muoh),2024-06-24 13:00:12+00:00,508,0,1,0.68,True,Monday,13,46,0.001968503937007874
Data Professor,Advice for Python learners (Ft. Data Scientist Nick Muoh),2024-06-22 13:00:04+00:00,642,0,0,0.8,True,Saturday,13,57,0.0
Data Professor,Breaking into Tech (Ft. Data Scientist Nick Muoh),2024-06-20 13:00:18+00:00,619,0,0,0.65,True,Thursday,13,49,0.0
Data Professor,"Journey of learning Python (Ft. Python Educator, Rodrigo)",2024-06-18 13:00:05+00:00,889,21,0,0.7,True,Tuesday,13,57,0.023622047244094488
Data Professor,"Tips for learning Python (Ft. Python Educator, Rodrigo)",2024-06-16 13:00:30+00:00,1309,38,1,0.7,True,Sunday,13,55,0.029793735676088617
Data Professor,Discover the Power of Python (Ft. Python Crash Course Author Eric Matthes),2024-05-31 11:00:26+00:00,6035,166,4,0.5,True,Friday,11,74,0.028169014084507043
Data Professor,Tips for Mastering Python (Ft. Python Crash Course Author Eric Matthes),2024-05-30 07:20:09+00:00,4108,150,0,0.78,True,Thursday,7,71,0.0365141187925998
Data Professor,Who is Sebastian Flores? | PyCon US 2024,2024-05-27 14:00:18+00:00,785,16,1,0.85,True,Monday,14,40,0.02165605095541401
Data Professor,Try this to Level up your Coding (Ft. Sebastian Flores) | PyCon US 2024,2024-05-26 21:47:37+00:00,1274,54,3,0.85,True,Sunday,21,71,0.044740973312401885
Data Professor,Getting into Tech with Python (Ft. Sebastian Flores) | PyCon US 2024,2024-05-21 17:08:48+00:00,1700,41,0,0.7,True,Tuesday,17,68,0.02411764705882353
Data Professor,How to use Llama2 locally,2023-12-09 07:18:51+00:00,7673,187,13,9.0,False,Saturday,7,25,0.026065424214779094
Data Professor,A glimpse into the future of LLMs with State of LLM Apps 2023,2023-12-05 04:35:21+00:00,2238,49,5,8.62,False,Tuesday,4,61,0.024128686327077747
Data Professor,How to Get Ahead of 99% of Data Scientists with Streamlit (Tips from Tyler Richards),2023-10-23 08:10:38+00:00,5433,142,22,53.33,False,Monday,8,84,0.030185900975519972
Data Professor,Streamlit LLM Hackathon,2023-09-08 09:10:04+00:00,6236,108,10,3.45,False,Friday,9,23,0.01892238614496472
Data Professor,How to Use the Open-Source Hugging Chat API in Python,2023-08-28 05:05:38+00:00,12520,231,27,7.63,False,Monday,5,53,0.02060702875399361
Data Professor,How to use GitHub Codespaces for Coding and Data Science,2023-08-21 01:00:30+00:00,50047,801,33,11.88,False,Monday,1,56,0.01666433552460687
Data Professor,Introducing the Mito Streamlit component,2023-08-14 07:29:14+00:00,3124,72,4,4.53,False,Monday,7,40,0.024327784891165175
Data Professor,How to use the Llama 2 LLM in Python,2023-08-01 03:23:49+00:00,135248,1304,48,4.85,False,Tuesday,3,36,0.009996450964154737
Data Professor,Choosing a Programming Language to Learn!,2023-06-21 02:00:08+00:00,2849,104,1,0.82,True,Wednesday,2,41,0.036855036855036855
Data Professor,Identifying the PROBLEM to solve when learning to CODE,2023-06-14 02:00:02+00:00,1801,74,1,0.98,True,Wednesday,2,54,0.0416435313714603
Data Professor,How to unleash the power of ChatGPT on your Pandas Dataframes with Mito AI,2023-06-09 14:00:44+00:00,4594,102,19,1.95,False,Friday,14,74,0.02633870265563779
Data Professor,How I would learn Python,2023-06-05 08:54:29+00:00,5224,205,1,0.83,True,Monday,8,24,0.03943338437978561
Data Professor,How I would learn Python,2023-05-13 16:48:08+00:00,9570,319,18,15.62,False,Saturday,16,24,0.03521421107628004
Data Professor,Data Science Podcast with Jess Haberman from Anaconda,2023-05-02 15:00:27+00:00,11595,205,7,80.08,False,Tuesday,15,53,0.018283742992669254
Data Professor,"Streamlit Hackathon - Ready, Set, Build!",2023-05-01 18:02:58+00:00,3626,61,5,2.22,False,Monday,18,40,0.01820187534473249
Data Professor,Building a web app in Python for analyzing YouTube channels,2023-03-25 15:38:54+00:00,12821,340,11,13.93,False,Saturday,15,59,0.02737695967553233
Data Professor,ChatGPT a threat for schools?,2023-02-14 12:54:14+00:00,2442,41,8,0.87,True,Tuesday,12,29,0.020065520065520065
Data Professor,How to use ChatGPT to Explain Code,2023-01-29 13:05:38+00:00,14078,196,16,2.57,False,Sunday,13,34,0.015058957238244068
Data Professor,How to use ChatGPT to Generate Code in 90 seconds,2023-01-20 12:16:58+00:00,18341,148,14,1.65,False,Friday,12,49,0.008832669974374353
Data Professor,How to summarize text using ChatGPT,2023-01-13 11:06:56+00:00,147557,991,54,5.77,False,Friday,11,35,0.007082008986357814
Data Professor,How to get started with ChatGPT for Beginners,2023-01-08 05:55:39+00:00,17236,405,36,13.7,False,Sunday,5,45,0.02558598282664191
Data Professor,Build machine learning models in Google Sheets,2022-12-22 14:44:06+00:00,19485,604,31,16.77,False,Thursday,14,46,0.032589171157300485
Data Professor,How to Built an App for Converting Video to Animated Images in Python (Full code inside),2022-12-16 17:25:27+00:00,7628,177,10,20.17,False,Friday,17,88,0.024514944939695856
Data Professor,Welcome to the Data Professor YouTube channel,2022-12-06 05:59:46+00:00,32129,218,20,1.75,False,Tuesday,5,45,0.007407637959475863
Data Professor,How to build a protein structure prediction app in Python using ESMFold and Streamlit,2022-11-29 12:05:54+00:00,22244,705,34,12.15,False,Tuesday,12,85,0.0332224420068333
Data Professor,Streamlit at tech conference Build 22,2022-11-12 12:31:24+00:00,2773,40,7,1.95,False,Saturday,12,37,0.01694915254237288
Data Professor,How to quickly prototype your Streamlit web app,2022-11-04 08:09:07+00:00,5240,101,9,7.15,False,Friday,8,47,0.02099236641221374
Data Professor,How I would learn to code (If I had to start over),2022-10-25 07:47:33+00:00,7285,370,25,11.3,False,Tuesday,7,50,0.05422100205902539
Data Professor,Build a data storytelling web app in Python with ipyvizzu | Streamlit tutorial,2022-10-18 11:01:08+00:00,16372,528,32,5.97,False,Tuesday,11,78,0.034204739799657956
Data Professor,Building a Dashboard web app in Python - Full Streamlit Tutorial,2022-10-12 13:53:06+00:00,111254,1878,61,13.6,False,Wednesday,13,64,0.017428586837327197
Data Professor,Tips for learning to code,2022-10-06 08:20:07+00:00,2917,108,4,1.0,False,Thursday,8,25,0.03839561193006513
Data Professor,Advice on breaking into Tech from a FAANG Developer (@CodewithVincent),2022-09-30 03:40:25+00:00,1081,19,4,42.93,False,Friday,3,70,0.02127659574468085
Data Professor,Introduction to Computational Drug Discovery,2022-09-21 12:19:43+00:00,12463,357,14,115.53,False,Wednesday,12,44,0.02976811361630426
Data Professor,Data Science Podcast with @misraturp,2022-09-12 07:10:42+00:00,9685,195,16,48.6,False,Monday,7,36,0.021786267423851317
Data Professor,How to run R and Python together in a Streamlit app,2022-08-31 11:49:25+00:00,6132,144,23,12.08,False,Wednesday,11,51,0.027234181343770383
Data Professor,Faster Data Analysis in Python with Mito,2022-08-05 04:55:04+00:00,5795,242,9,6.35,False,Friday,4,40,0.04331320103537532
Data Professor,How to become a Full-Stack Developer with Meta x Coursera,2022-07-31 15:10:26+00:00,14484,237,30,2.53,False,Sunday,15,57,0.01843413421706711
Data Professor,How to build a content moderation app in Python for analyzing audio files,2022-07-28 13:40:34+00:00,3843,68,5,20.42,False,Thursday,13,73,0.018995576372625552
Data Professor,Walkthrough of How I use Coding for Data Analysis,2022-07-25 15:56:32+00:00,7576,395,12,0.98,True,Monday,15,49,0.053722280887011614
Data Professor,This ONE thing helped me learn to CODE,2022-07-22 02:00:30+00:00,5247,348,4,0.63,True,Friday,2,38,0.06708595387840671
Data Professor,How to build a Linktree Clone using Python + Streamlit,2022-07-18 17:23:51+00:00,7103,190,18,12.5,False,Monday,17,54,0.029283401379698717
Data Professor,Free computing resource for data science,2022-07-06 13:00:57+00:00,5290,173,10,9.25,False,Wednesday,13,40,0.03459357277882798
Data Professor,MLOps 101 - A Practical Tutorial on Creating a Machine Learning Project with DagsHub,2022-06-13 14:00:21+00:00,9076,194,9,28.25,False,Monday,14,84,0.02236668135742618
Data Professor,Cloud Dataholics - Sitcom for Data Enthusiast,2022-06-10 15:00:02+00:00,1934,70,3,0.97,True,Friday,15,45,0.037745604963805586
