channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Data School,"Top AI news: ChatGPT undeletes your chats, Copilot security flaw, Veo 3 TV ad",2025-06-13 16:17:11+00:00,1692,35,3,2.65,False,Friday,16,77,0.022458628841607566
Data School,What is Retrieval Augmented Generation (RAG)?,2025-05-21 14:08:54+00:00,1002,38,1,2.98,False,Wednesday,14,45,0.038922155688622756
Data School,Jupyter & IPython terminology explained,2025-02-12 18:13:18+00:00,1749,95,9,4.98,False,Wednesday,18,39,0.05946255002858777
Data School,How to keep up with AI in 2025,2025-01-31 15:38:51+00:00,2163,104,3,2.95,False,Friday,15,30,0.04946833102172908
Data School,Build an AI chatbot with Python,2025-01-28 19:04:03+00:00,1667,57,9,5.67,False,Tuesday,19,31,0.03959208158368326
Data School,Guess the MYSTERY course 🎁,2024-09-17 14:43:22+00:00,982,34,66,0.43,True,Tuesday,14,26,0.10183299389002037
Data School,"Course outline: ""Master Machine Learning with scikit-learn""",2024-05-29 14:54:19+00:00,3737,71,13,4.8,False,Wednesday,14,59,0.02247792346802248
Data School,"Course overview: ""Master Machine Learning with scikit-learn""",2024-05-28 14:56:59+00:00,1503,29,6,1.9,False,Tuesday,14,60,0.023286759813705923
Data School,Introduction to model ensembling,2024-05-27 13:29:58+00:00,1017,22,3,1.67,False,Monday,13,32,0.024582104228121928
Data School,How to save a scikit-learn Pipeline with custom transformers,2024-05-26 18:34:16+00:00,1805,50,3,2.33,False,Sunday,18,60,0.029362880886426593
Data School,Should I shuffle samples with cross-validation?,2024-05-24 13:25:33+00:00,1272,32,5,3.87,False,Friday,13,47,0.02908805031446541
Data School,Cost-sensitive learning in scikit-learn,2024-05-23 14:06:08+00:00,1732,37,1,4.27,False,Thursday,14,39,0.021939953810623556
Data School,scikit-learn vs Deep Learning,2024-05-22 15:54:02+00:00,2015,56,9,1.83,False,Wednesday,15,29,0.03225806451612903
Data School,How to read the scikit-learn documentation,2024-04-22 18:06:31+00:00,6027,161,14,7.52,False,Monday,18,42,0.029036004645760744
Data School,My top 50 scikit-learn tips,2023-04-20 14:56:43+00:00,14263,512,49,167.52,False,Thursday,14,27,0.03933253873659118
Data School,21 more pandas tricks,2022-05-12 16:20:41+00:00,49708,1502,69,24.67,False,Thursday,16,21,0.03160457069284622
Data School,Adapt this pattern to solve many Machine Learning problems,2021-10-28 16:16:39+00:00,12771,447,16,7.82,False,Thursday,16,58,0.036254012998199046
Data School,Tune multiple models simultaneously with GridSearchCV,2021-10-26 13:53:24+00:00,7787,224,17,5.12,False,Tuesday,13,53,0.03094901759342494
Data School,Access part of a Pipeline using slicing,2021-10-21 14:49:56+00:00,2777,75,4,3.63,False,Thursday,14,39,0.02844796543032049
