channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Easy Engineering Studies,Easy Engineering Studies Live Stream,2020-08-22 16:01:53+00:00,0,0,0,0.0,True,Saturday,16,36,
Easy Engineering Studies,LALR parsing in [Hindi] | Compiler Design | Example 3,2019-02-17 05:42:57+00:00,6188,71,18,21.48,False,Sunday,5,53,0.014382676147382029
Easy Engineering Studies,LALR parsing in [Hindi] | Compiler Design | Example 2,2019-02-13 17:09:29+00:00,10198,112,10,21.63,False,Wednesday,17,53,0.011963130025495195
Easy Engineering Studies,LALR parsing in [Hindi] | Compiler Design | Example 1,2019-02-10 10:27:33+00:00,55094,620,19,24.82,False,Sunday,10,53,0.011598359167967474
Easy Engineering Studies,CLR / LR(1) parsing in [Hindi] | Compiler Design | Example 3,2019-01-26 09:22:10+00:00,17961,192,16,25.25,False,Saturday,9,60,0.011580646957296364
Easy Engineering Studies,CLR / LR(1) parsing in [Hindi] | Compiler Design | Example 2,2019-01-22 16:53:42+00:00,20500,234,11,18.35,False,Tuesday,16,60,0.011951219512195122
Easy Engineering Studies,CLR / LR(1) parsing in [Hindi] | Compiler Design | Example 1,2019-01-19 16:39:59+00:00,86335,826,28,14.97,False,Saturday,16,60,0.009891700932414432
Easy Engineering Studies,LR Parsing |  LR (0) Parsing in [Hindi]   | Compiler Design | Example 2,2019-01-11 14:27:40+00:00,17638,180,10,16.2,False,Friday,14,71,0.010772196394148996
Easy Engineering Studies,LR Parsing |  LR (0) Parsing in [Hindi]   | Compiler Design | Example 1,2019-01-10 16:08:54+00:00,46308,503,30,28.45,False,Thursday,16,71,0.011509890299732227
Easy Engineering Studies,Compiler Design | LL1 | push-pop Parsing-Operations using stack | Example 2,2019-01-09 13:23:46+00:00,14152,180,9,8.7,False,Wednesday,13,75,0.013355002826455624
Easy Engineering Studies,Compiler Design | LL1 | push-pop Parsing-Operations using stack | Example 1,2019-01-08 14:12:55+00:00,67133,771,34,17.83,False,Tuesday,14,75,0.011991122100904176
Easy Engineering Studies,Predictive Parser LL1 with Left recursion and  Left Factoring[Hindi] | Compiler design | Example 2,2019-01-06 13:39:57+00:00,4218,47,3,12.37,False,Sunday,13,98,0.011853959222380275
Easy Engineering Studies,Predictive Parser LL1 with Left recursion and  Left Factoring[Hindi] | Compiler design | Example 1,2019-01-05 14:25:09+00:00,6915,79,8,16.47,False,Saturday,14,98,0.012581344902386117
Easy Engineering Studies,Predictive Parser LL1 with Left Factoring[Hindi] | Compiler design | Example 2,2019-01-04 13:55:43+00:00,1673,32,6,9.75,False,Friday,13,78,0.022713687985654513
Easy Engineering Studies,Predictive Parser LL1 with Left Factoring[Hindi] | Compiler design | Example 1,2019-01-03 15:01:32+00:00,2647,46,3,10.02,False,Thursday,15,78,0.018511522478277295
Easy Engineering Studies,Predictive Parser LL1 with Left Recursion[Hindi] | Compiler design | Example 4,2019-01-02 15:39:01+00:00,3120,47,6,21.78,False,Wednesday,15,78,0.016987179487179486
Easy Engineering Studies,Predictive Parser LL1 with Left Recursion[Hindi] | Compiler design | Example 3,2018-10-05 17:26:09+00:00,3905,48,5,19.43,False,Friday,17,78,0.01357234314980794
Easy Engineering Studies,Predictive Parser LL1 with Left Recursion[Hindi] | Compiler design | Example 2,2018-10-04 16:10:07+00:00,8407,93,5,18.6,False,Thursday,16,78,0.011656952539550375
Easy Engineering Studies,Predictive Parser LL1 [Hindi] | Compiler design | Example 1,2018-10-03 04:47:28+00:00,24579,270,16,14.8,False,Wednesday,4,59,0.011635949387688678
Easy Engineering Studies,How to find First and Follow set Basics [Hindi] | Compiler Design | Example 3,2018-10-02 04:50:42+00:00,5894,77,3,14.17,False,Tuesday,4,77,0.013573125212080081
Easy Engineering Studies,How to find First and Follow set Basics [Hindi] | Compiler Design | Example 2,2018-10-01 05:04:14+00:00,8234,85,5,12.77,False,Monday,5,77,0.010930289045421423
Easy Engineering Studies,How to find First and Follow set Basics [Hindi] | Compiler Design | Example 1,2018-09-30 08:48:03+00:00,24853,308,12,17.85,False,Sunday,8,77,0.012875709169919125
Easy Engineering Studies,Job Sequencing with Deadlines Greedy Method  [Hindi] | DAA | Example 2,2018-09-25 06:04:39+00:00,45563,647,40,6.25,False,Tuesday,6,70,0.015078023835129382
Easy Engineering Studies,Job Sequencing with Deadlines Greedy Method  [Hindi] | DAA | Example 1,2018-09-24 06:11:59+00:00,208507,3097,98,9.22,False,Monday,6,70,0.015323226558340968
Easy Engineering Studies,Longest Common Subsequence(LCS) [Hindi] | DAA | Example 4,2018-09-23 03:51:07+00:00,4381,48,9,7.42,False,Sunday,3,57,0.013010728144259302
Easy Engineering Studies,Longest Common Subsequence(LCS) [Hindi] | DAA | Example 3,2018-09-22 11:34:18+00:00,19782,233,6,7.93,False,Saturday,11,57,0.01208169042563947
Easy Engineering Studies,Longest Common Subsequence(LCS) [Hindi] | DAA | Example 2,2018-09-21 05:42:29+00:00,7228,103,7,10.03,False,Friday,5,57,0.015218594355285003
Easy Engineering Studies,Longest Common Sub-sequence(LCS) [Hindi] | DAA | Example 1,2018-09-20 05:23:35+00:00,25082,295,22,10.02,False,Thursday,5,58,0.012638545570528665
Easy Engineering Studies,knapsack Problem [Hindi] | Greedy Method | DAA | Example 4,2018-09-15 10:12:17+00:00,12376,134,7,10.13,False,Saturday,10,58,0.011393018745959922
Easy Engineering Studies,knapsack Problem [Hindi] | Greedy Method | DAA | Example 3,2018-09-14 06:27:27+00:00,17005,191,10,10.43,False,Friday,6,58,0.011820052925610114
