channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Errichto Algorithms,Advent of Code 2024 | Days 22-25 Live-coding,2025-01-01 05:44:35+00:00,6371,134,6,173.98,False,Wednesday,5,44,0.02197457228064668
Errichto Algorithms,Advent of Code 2024 | Days 18-25 Live-coding,2024-12-31 07:32:56+00:00,6654,196,3,198.77,False,Tuesday,7,44,0.0299068229636309
Errichto Algorithms,Advent of Code 2024 | Days 13-20 Live-coding,2024-12-21 07:56:38+00:00,8928,216,8,192.95,False,Saturday,7,44,0.025089605734767026
Errichto Algorithms,Advent of Code 2024 | Days 7-12 Live-coding,2024-12-12 21:19:44+00:00,9926,264,7,148.82,False,Thursday,21,43,0.027302035059439855
Errichto Algorithms,Day 6 | Advent of Code 2024,2024-12-06 16:21:07+00:00,14418,275,29,22.3,False,Friday,16,27,0.02108475516715217
Errichto Algorithms,Day 5 | Advent of Code 2024,2024-12-05 18:10:43+00:00,6782,174,12,20.93,False,Thursday,18,27,0.027425538189324684
Errichto Algorithms,Day 4 | Advent of Code 2024,2024-12-05 15:00:05+00:00,4948,187,12,9.3,False,Thursday,15,27,0.040218270008084075
Errichto Algorithms,Day 3 | Advent of Code 2024,2024-12-03 08:59:00+00:00,9343,294,27,13.97,False,Tuesday,8,27,0.03435727282457455
Errichto Algorithms,Day 2 | Advent of Code 2024 | Better Time Complexity,2024-12-02 11:50:33+00:00,13509,401,15,15.23,False,Monday,11,52,0.03079428529128729
Errichto Algorithms,Day 1 | Advent of Code 2024,2024-12-01 21:58:50+00:00,20148,667,48,5.83,False,Sunday,21,27,0.03548739328965654
Errichto Algorithms,"Prefix Sums - Problems, Code in C++ & Python",2023-06-28 10:10:55+00:00,69887,1868,119,20.85,False,Wednesday,10,44,0.028431611029232903
Errichto Algorithms,I Lost In Google Hash Code 2022,2022-03-07 14:07:15+00:00,64074,1219,71,8.88,False,Monday,14,31,0.020132971251989887
Errichto Algorithms,C++ Caesar Cipher (ASCII Codes) | Algo for Beginners,2022-02-13 21:31:23+00:00,50068,1417,53,13.65,False,Sunday,21,52,0.029360070304386036
Errichto Algorithms,C++ For-Loops Range | Algorithms For Beginners,2022-01-20 21:00:08+00:00,56829,2553,156,9.15,False,Thursday,21,46,0.04766932376075595
Errichto Algorithms,Leetcode Biweekly #56 (2nd Place),2021-07-10 16:05:44+00:00,84615,1512,116,15.97,False,Saturday,16,33,0.01924008745494298
Errichto Algorithms,Google Code Jam 2021 R3 Screencast,2021-06-05 17:22:20+00:00,40288,632,67,151.0,False,Saturday,17,34,0.017350079428117553
Errichto Algorithms,Kickstart 2021 Round C (1st place),2021-05-23 14:01:02+00:00,219385,4096,276,78.08,False,Sunday,14,34,0.01992843631059553
Errichto Algorithms,Google Code Jam Round 2 Screencast (full score!),2021-05-15 16:44:36+00:00,42559,781,57,103.12,False,Saturday,16,48,0.019690312272374822
Errichto Algorithms,Google Code Jam 2021 Round 1B (6th place),2021-04-25 18:31:11+00:00,188070,2531,151,60.52,False,Sunday,18,41,0.014260647631201148
Errichto Algorithms,Sparse Table & RMQ (Range Minimum Query),2021-04-18 16:44:39+00:00,88867,3077,147,18.7,False,Sunday,16,40,0.03627893368742053
Errichto Algorithms,Google Code Jam 2020 1C Practice,2021-04-07 17:27:48+00:00,18201,429,47,58.88,False,Wednesday,17,32,0.02615240920828526
Errichto Algorithms,LCA – Lowest Common Ancestor,2021-04-06 08:49:43+00:00,69758,1839,90,15.93,False,Tuesday,8,28,0.027652742337796382
Errichto Algorithms,Binary Lifting (Kth Ancestor of a Tree Node),2021-03-30 15:17:02+00:00,112597,3521,207,18.02,False,Tuesday,15,44,0.03310923026368376
