channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Gaurav Sen,How Deepseek reads 6 TB of files per second.,2025-07-06 06:08:59+00:00,37662,1696,20,1.67,False,Sunday,6,44,0.04556316711805002
Gaurav Sen,Stanford launches ChatEHR: Large Language Models for medical records,2025-07-05 05:22:54+00:00,38655,940,10,0.93,True,Saturday,5,68,0.0245763808045531
Gaurav Sen,How OpenAI ingests petabytes of logs every day.,2025-07-01 14:46:18+00:00,140081,4283,51,1.35,False,Tuesday,14,47,0.030939242295529017
Gaurav Sen,Uber Engineering: Large Language Models for invoice processing.,2025-06-29 05:22:47+00:00,188233,4194,62,1.27,False,Sunday,5,63,0.02261027556273342
Gaurav Sen,AlphaEvolve from Google.,2025-06-27 13:00:05+00:00,55485,1485,25,0.87,True,Friday,13,24,0.027214562494367846
Gaurav Sen,This speed hack from OpenAI searches URLs instantaneously.,2025-06-26 13:30:05+00:00,63352,1928,22,1.05,False,Thursday,13,58,0.030780401565854276
Gaurav Sen,Does ChatGPT make you dumber? MIT Study Explained.,2025-06-25 10:01:07+00:00,78432,1972,30,1.97,False,Wednesday,10,50,0.02552529579763362
Gaurav Sen,The (questionable) ethics of OpenAI.,2025-06-19 15:22:07+00:00,17395,698,26,2.25,False,Thursday,15,36,0.041621155504455304
Gaurav Sen,Illusion of thinking,2025-06-17 18:29:24+00:00,12256,318,13,1.42,False,Tuesday,18,20,0.027007180156657963
Gaurav Sen,Zepto uses Hyperloglog to advertise products,2025-06-16 20:37:03+00:00,18504,535,16,1.63,False,Monday,20,44,0.029777345438824036
Gaurav Sen,AI Engineering #6: End-to-End AI Service in Production,2025-06-07 16:36:28+00:00,4355,88,4,55.68,False,Saturday,16,54,0.021125143513203215
Gaurav Sen,AI Engineering with Gaurav Sen,2025-06-03 13:53:30+00:00,7569,159,12,47.25,False,Tuesday,13,30,0.022592152199762187
Gaurav Sen,"AI Engineering #5: MCP, Agents, and RAG Applications",2025-05-31 05:12:14+00:00,8779,262,8,41.15,False,Saturday,5,52,0.03075521129969245
