channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Jenny's Lectures CS IT,No DSA .... No Placement ?,2025-07-09 11:30:33+00:00,8863,285,60,5.23,False,Wednesday,11,26,0.038925871601038026
Jenny's Lectures CS IT,Superintelligence Is Coming: Big Tech’s Secret AI War to Outsmart Us,2025-07-06 14:00:04+00:00,8244,292,37,13.22,False,Sunday,14,68,0.03990781174187288
Jenny's Lectures CS IT,Microsoft Internship 2025 | Software Engineer | Complete Guide with FREE resources,2025-07-05 12:01:20+00:00,91713,2464,114,15.0,False,Saturday,12,82,0.0281094283253192
Jenny's Lectures CS IT,How to Start Learning AI in 2025 the Right Way | Roadmap,2025-07-03 14:50:22+00:00,35442,1028,68,18.13,False,Thursday,14,56,0.030923762767338187
Jenny's Lectures CS IT,Wake Up |  AI Is Taking Over !,2025-07-01 12:12:20+00:00,11084,399,70,7.62,False,Tuesday,12,30,0.04231324431613136
Jenny's Lectures CS IT,UIDAI Internship 2025 | Govt Internship 2025 | Stipend Rs.40000/Month,2025-06-29 12:38:13+00:00,36373,787,75,7.73,False,Sunday,12,69,0.023698897533885023
Jenny's Lectures CS IT,ISRO Hackathon 2025 | FREE Internship & Mentorship from ISRO Scientist | For ALL Students,2025-06-28 13:35:01+00:00,43409,1202,65,10.62,False,Saturday,13,89,0.029187495680619225
Jenny's Lectures CS IT,Big Announcement | New Generative AI Course Launch,2025-06-27 07:35:06+00:00,20125,505,105,7.08,False,Friday,7,50,0.03031055900621118
Jenny's Lectures CS IT,DRDO Internship 2025 | Summer Internship for UG/PG students | Stipend + Certificate | No Exam,2025-06-24 14:36:15+00:00,104300,2572,221,11.33,False,Tuesday,14,93,0.026778523489932884
Jenny's Lectures CS IT,Adobe India Hackathon 2025 | Internship & Job Opportunity at Adobe | Stipend Rs.1 lakh,2025-06-23 12:45:05+00:00,16610,442,38,8.23,False,Monday,12,86,0.028898254063816978
Jenny's Lectures CS IT,Design Min Stack - LeetCode155 | Full Explanation with JAVA Code,2025-06-20 13:45:04+00:00,4151,114,18,30.65,False,Friday,13,64,0.0317995663695495
Jenny's Lectures CS IT,"Binary Search Interview Questions | Asked in Google, Amazon, Meta & More | DSA Placement Series",2025-06-11 11:51:25+00:00,6417,149,43,116.85,False,Wednesday,11,95,0.029920523609163162
Jenny's Lectures CS IT,Binary Search Algorithm | Theory + Code | DSA Placement Series,2025-06-07 14:45:41+00:00,5359,142,21,62.0,False,Saturday,14,62,0.030416122410897556
Jenny's Lectures CS IT,"AMD India is Hiring Interns | June 2025 | Work on CPUs, GPUs & AI Projects",2025-06-06 13:56:44+00:00,22965,487,58,8.25,False,Friday,13,74,0.023731765730459396
Jenny's Lectures CS IT,Machine Learning Internship 2025 | Stipend + Job Opportunity | Apply Fast,2025-06-03 05:10:09+00:00,15521,390,76,8.2,False,Tuesday,5,73,0.030023838670188777
Jenny's Lectures CS IT,LeetCode Questions on Arrays| Must-Solve Questions for Placements & Interviews | With JAVA Code,2025-06-02 14:46:34+00:00,7440,188,17,74.02,False,Monday,14,95,0.027553763440860215
Jenny's Lectures CS IT,Multi Dimensional Arrays in JAVA|  DSA with JAVA Course,2025-05-31 14:09:22+00:00,3419,87,22,71.67,False,Saturday,14,55,0.03188066686165546
Jenny's Lectures CS IT,Infosys Springboard Internship 2025 | Free Online Internships for College Students | June Batch,2025-05-29 12:55:30+00:00,249422,5834,444,11.97,False,Thursday,12,95,0.025170193487342736
Jenny's Lectures CS IT,Software Developer Internship | ₹15000/Month Stipend | Closing Soon,2025-05-27 12:32:09+00:00,21187,407,82,5.22,False,Tuesday,12,67,0.02308019068296597
Jenny's Lectures CS IT,"Array Operations - Traversal, Insertion,Deletion | Explanation with Code | DSA with JAVA Course",2025-05-26 13:30:06+00:00,6399,187,28,111.52,False,Monday,13,95,0.03359899984372558
Jenny's Lectures CS IT,Google I/O 2025: AI Future Is HERE  |  Veo 3 & Gemini Live Demo Inside,2025-05-25 08:29:59+00:00,6695,234,30,7.43,False,Sunday,8,70,0.039432412247946226
Jenny's Lectures CS IT,"Paytm Software Engineer Internship 2025 | ₹25,000/Month Stipend | Apply Now",2025-05-24 11:53:16+00:00,32972,674,26,7.42,False,Saturday,11,75,0.02123013465971127
Jenny's Lectures CS IT,"Arrays in Data Structure | Declaration, Initialization & Memory Explained |  DSA With JAVA Course",2025-05-19 13:30:07+00:00,11629,317,49,80.52,False,Monday,13,97,0.031473041534095796
Jenny's Lectures CS IT,Time and Space Complexity | Big O Notation | DSA with JAVA Course,2025-05-18 04:30:06+00:00,15090,437,33,81.62,False,Sunday,4,65,0.031146454605699137
Jenny's Lectures CS IT,Microsoft LayOff in 2025  – Is AI Taking Over Jobs? What should Students Learn Now,2025-05-17 13:30:06+00:00,27190,646,93,10.12,False,Saturday,13,82,0.027179109966899595
Jenny's Lectures CS IT,Introduction to Data Structure and Algorithm | DSA Placement Course,2025-05-16 13:30:07+00:00,25217,795,67,46.43,False,Friday,13,67,0.034183289051037
Jenny's Lectures CS IT,Career Gap | How to justify a Career Gap in Resume |  Placement Series,2025-05-13 14:17:11+00:00,9261,325,66,12.45,False,Tuesday,14,70,0.04222006262822589
Jenny's Lectures CS IT,College Passout with No Job | Here's the Harsh Truth and Roadmap to get one,2025-05-11 12:30:23+00:00,88905,3347,503,12.73,False,Sunday,12,75,0.04330465103200045
Jenny's Lectures CS IT,Free Online Courses with Certificates to Boost Your Resume (2025),2025-05-10 12:48:50+00:00,76712,2264,91,10.28,False,Saturday,12,65,0.030699238711023046
Jenny's Lectures CS IT,STOP Scrolling And Pay Attention #attention #important #shorts,2025-05-10 08:13:57+00:00,39556,2271,32,0.95,True,Saturday,8,62,0.05822125594094448
Jenny's Lectures CS IT,How to Search & Apply for Jobs & Internships in 2025 | Step by Step Guide for Students,2025-05-08 11:13:14+00:00,19099,846,47,21.8,False,Thursday,11,86,0.04675637467930258
Jenny's Lectures CS IT,FREE Microsoft Online Internship 2025 for ALL students | With Certificate,2025-05-07 12:35:18+00:00,242593,5489,254,8.52,False,Wednesday,12,73,0.02367339535765665
Jenny's Lectures CS IT,Internship in Japan for Indian Students | No Japanese Required | Fully Funded | Apply Now,2025-05-04 10:38:37+00:00,80393,2185,148,17.18,False,Sunday,10,89,0.029019939546975484
Jenny's Lectures CS IT,FREE 35000+ Summer Internships 2025 | Stipend upto 60k/month | Apply Now,2025-04-10 13:21:06+00:00,46469,972,60,8.1,False,Thursday,13,72,0.022208353956401042
Jenny's Lectures CS IT,"Why Are People Paying ₹50,000 for This? You Can Get It at 90% Off",2025-04-06 11:02:25+00:00,10058,253,49,5.02,False,Sunday,11,65,0.030025850069596342
Jenny's Lectures CS IT,Summer Internship at IITs 2025 | For All College Students | Stipend upto 13k,2025-04-05 11:38:47+00:00,24445,508,57,10.7,False,Saturday,11,76,0.0231131110656576
Jenny's Lectures CS IT,FOSSEE Summer Fellowship 2025 | IIT Bombay Internship | Work From Home | Open-Source Projects,2025-04-03 12:44:56+00:00,35474,856,37,12.8,False,Thursday,12,93,0.025173366409201106
Jenny's Lectures CS IT,Summer Internships 2025 for College Students | APPLY NOW,2025-04-01 11:54:50+00:00,77487,1742,89,9.48,False,Tuesday,11,56,0.02362977015499374
Jenny's Lectures CS IT,🔥 Limited Seats! Learn Java from Scratch – Enroll Today,2025-03-30 13:45:05+00:00,4119,80,21,4.12,False,Sunday,13,55,0.024520514688031077
Jenny's Lectures CS IT,Remove Element |  LeetCode Question 27,2025-03-29 12:10:52+00:00,5719,138,30,18.42,False,Saturday,12,38,0.02937576499388005
