channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Joma Tech,how the FTX collapse ACTUALLY happened...,2022-12-03 16:32:03+00:00,1732487,63921,2948,3.15,False,Saturday,16,41,0.03859711501442724
Joma Tech,"when you rob a big tech company, but the employees are...",2022-11-11 14:29:15+00:00,5462558,195347,3339,2.57,False,Friday,14,57,0.03637233691614807
Joma Tech,if “normal” job interviews were like coding interviews,2022-10-11 21:52:01+00:00,2879291,114135,1729,2.0,False,Tuesday,21,54,0.04024046197484033
Joma Tech,If Programming Was an Anime 3,2022-09-14 15:45:51+00:00,1546337,86805,2836,5.68,False,Wednesday,15,29,0.0579698991875639
Joma Tech,every “entrepreneur” influencer ever...,2022-08-04 14:52:18+00:00,1808973,97092,2145,0.82,True,Thursday,14,39,0.05485819854691032
Joma Tech,how programmers overprepare for job interviews,2022-07-23 21:32:27+00:00,5464426,171739,3418,1.17,False,Saturday,21,46,0.03205405288679909
Joma Tech,crypto founders be like...,2022-07-16 15:01:21+00:00,736832,28679,1041,10.03,False,Saturday,15,26,0.040334838877790324
Joma Tech,if Wolf of Wall Street were about crypto,2022-04-08 15:00:28+00:00,2308896,96396,2575,5.2,False,Friday,15,40,0.04286507491026014
Joma Tech,interviewing at a startup be like... (ft. Steven He),2022-03-10 16:11:21+00:00,4956354,159796,4537,6.85,False,Thursday,16,52,0.033156025578479666
Joma Tech,NFT projects in a nutshell,2022-02-19 14:54:12+00:00,984614,45527,974,3.1,False,Saturday,14,26,0.04722764453887513
Joma Tech,crypto traders be like...,2022-01-29 14:36:05+00:00,4020118,148726,4376,5.6,False,Saturday,14,25,0.03808395673957829
Joma Tech,a day in the life of a startup engineer working from home,2021-12-15 15:48:55+00:00,3467600,122515,4200,8.6,False,Wednesday,15,57,0.036542565463144536
Joma Tech,If Squid Game were about Programmers,2021-11-26 06:14:53+00:00,1846519,80845,1831,6.45,False,Friday,6,36,0.04477397741371738
Joma Tech,The man who saved New York City using Data Science,2021-11-02 16:23:37+00:00,654463,46258,1822,11.7,False,Tuesday,16,50,0.07346481008093658
Joma Tech,10 years of coding in 13 minutes,2021-10-19 16:21:34+00:00,5065742,199564,4432,13.47,False,Tuesday,16,32,0.04026971764452276
Joma Tech,how programmers attend meetings at big tech companies,2021-09-02 17:20:44+00:00,5963558,206332,2983,0.63,True,Thursday,17,53,0.03509901303886036
Joma Tech,if Apple made window blinds...,2021-08-06 13:00:09+00:00,5990898,268921,9704,7.83,False,Friday,13,30,0.046508052715970125
Joma Tech,a day in the life of an engineer working from home,2021-05-23 06:15:41+00:00,21954704,500710,12662,7.87,False,Sunday,6,50,0.02338323486392711
Joma Tech,Twitch founder who sold for $970 million chats with a guy with $970 in his bank account,2021-04-03 16:04:05+00:00,824019,22354,975,22.25,False,Saturday,16,87,0.028311240396155915
Joma Tech,"I Built a Trading Bot to let Subscribers Trade $25,000 on Twitch",2021-03-16 17:35:38+00:00,4330895,135317,6417,12.47,False,Tuesday,17,64,0.03272626096915303
Joma Tech,Why Microsoft Word is the best IDE for programming,2021-02-10 03:13:29+00:00,3733713,163406,7031,4.23,False,Wednesday,3,50,0.04564812560579777
Joma Tech,If Chess Was An Anime,2021-01-11 16:00:30+00:00,2689881,97590,2982,2.67,False,Monday,16,21,0.037389014606965885
Joma Tech,why you NEED math for programming,2021-01-06 01:05:51+00:00,9272506,467002,10072,5.05,False,Wednesday,1,33,0.051450384610158245
Joma Tech,My Ultimate Work From Home Desk Setup for Productivity,2020-10-25 15:30:01+00:00,3585603,101784,3808,10.23,False,Sunday,15,54,0.029448882098771112
Joma Tech,If Programming Was An Anime 2,2020-08-24 14:00:11+00:00,4731601,228716,5459,6.08,False,Monday,14,29,0.049491704816192236
Joma Tech,Coding a whole web app ONLY using my Phone.,2020-04-13 14:00:00+00:00,3953979,136088,5968,14.43,False,Monday,14,43,0.03592735318017622
Joma Tech,how coronavirus affects programmers in big tech companies,2020-03-09 23:00:07+00:00,5309072,125741,2110,1.1,False,Monday,23,57,0.024081609742719633
Joma Tech,If Programming Was An Anime,2020-02-24 14:00:07+00:00,10894326,579215,15559,3.43,False,Monday,14,27,0.054594841388076694
Joma Tech,how we write/review code in big tech companies,2020-02-10 14:00:07+00:00,15247904,379057,6919,1.2,False,Monday,14,46,0.025313380776793976
Joma Tech,I Got Rejected By A 22-Year Old CEO,2020-01-27 14:00:04+00:00,4193417,80140,2321,7.0,False,Monday,14,35,0.01966439302363681
Joma Tech,Can you solve my favorite interview question? (math + cs),2020-01-15 14:00:18+00:00,1723818,59795,2178,8.97,False,Wednesday,14,57,0.035951011069614076
Joma Tech,Day in the life of a VC | How to become one? | How much do you earn?,2020-01-05 03:26:08+00:00,202276,4696,173,21.75,False,Sunday,3,68,0.02407107120963436
Joma Tech,I spent this Christmas all alone...,2019-12-31 02:33:04+00:00,126417,4168,188,5.32,False,Tuesday,2,35,0.03445739101544887
Joma Tech,What Investors Look For in Startup Founders from Former YC Partner,2019-12-24 18:07:21+00:00,142734,4119,135,17.13,False,Tuesday,18,66,0.029803690781453614
Joma Tech,Data Scientists vs Data Engineers: Which one is for you?,2019-12-19 22:00:13+00:00,333321,9260,405,9.55,False,Thursday,22,56,0.028996072854695625
Joma Tech,If American Psycho were about Programmers,2019-12-12 20:14:51+00:00,5040803,251201,5518,2.93,False,Thursday,20,41,0.050928195368872775
Joma Tech,Interview With My Brother Who Sold His Startup For $60 Million | Machine Learning Engineer,2019-10-16 14:00:07+00:00,2120685,35791,1277,29.33,False,Wednesday,14,90,0.01747925788129779
Joma Tech,All My Job Offers In Tech,2019-08-29 20:29:24+00:00,798310,18239,629,16.87,False,Thursday,20,25,0.02363492878706267
Joma Tech,Interview with a Competitive Programmer,2019-08-22 15:15:54+00:00,1289658,30674,1098,25.22,False,Thursday,15,39,0.024635988766013934
Joma Tech,How I Spend My $250K Software Engineer Income,2019-08-05 14:00:04+00:00,3099625,74590,3283,15.97,False,Monday,14,45,0.025123361696979474
Joma Tech,i finally got a software engineering job,2019-06-20 14:00:08+00:00,1059345,31274,1510,11.75,False,Thursday,14,40,0.0309474250598247
Joma Tech,Top 3 Programming Languages to Learn in 2019,2019-06-14 13:00:07+00:00,1208882,42371,1963,16.48,False,Friday,13,44,0.036673554573564665
Joma Tech,He Got A $277K Google Offer by Lying!,2019-06-07 14:44:08+00:00,592850,14915,606,11.12,False,Friday,14,37,0.026180315425487054
Joma Tech,Silicon Valley Apartment Tour: $4600/Month (ft. Elliot Choy x Arpi Park),2019-05-30 02:04:07+00:00,683781,11768,664,17.85,False,Thursday,2,72,0.01818125978931851
Joma Tech,"""Stanford is the easiest to get into with low grades"" (ft. Arpi Park, Elliot Choy)",2019-05-21 02:47:05+00:00,458750,9770,498,34.55,False,Tuesday,2,82,0.022382561307901908
Joma Tech,The Truth About Programming,2019-05-08 00:45:38+00:00,453189,22086,759,5.02,False,Wednesday,0,27,0.05040943182645651
Joma Tech,coding is hard...,2019-05-01 00:10:03+00:00,757083,26663,1250,8.47,False,Wednesday,0,17,0.03686914116417883
Joma Tech,Why he left his job at Google SWE $100k+ (ft. CS Dojo),2019-04-27 15:23:12+00:00,189144,4488,222,12.05,False,Saturday,15,54,0.024901662225605886
Joma Tech,How He Fought Procrastination During College,2019-04-17 14:18:29+00:00,188142,5532,252,12.82,False,Wednesday,14,44,0.030742736868960677
Joma Tech,"Interviewing at Google, Uber, Snap and Negotiating to a $300k Job Offer",2019-04-05 01:11:37+00:00,397326,7053,381,14.45,False,Friday,1,71,0.018710076863834735
Joma Tech,Guy with 2.9 GPA now makes $300k as a SWE (Software Engineer),2019-03-30 23:55:19+00:00,817672,15710,907,8.82,False,Saturday,23,61,0.02032232973612891
Joma Tech,why I stopped making youtube videos,2019-03-26 19:24:33+00:00,206127,8360,1077,11.52,False,Tuesday,19,35,0.04578245450620249
Joma Tech,there's something you should know...,2018-10-17 15:25:57+00:00,196426,7951,1950,6.45,False,Wednesday,15,36,0.050405750766191845
Joma Tech,Data Scientist From Tinder Gives Dating Advice,2018-09-19 15:41:42+00:00,312305,5903,450,23.2,False,Wednesday,15,46,0.02034229359120091
Joma Tech,Don't Be A Programmer,2018-08-31 16:00:04+00:00,3253781,175072,6116,3.75,False,Friday,16,21,0.05568537034299481
Joma Tech,Top 3 Programming Languages For Data Science,2018-08-23 16:00:08+00:00,179863,4802,334,9.08,False,Thursday,16,44,0.02855506691203861
Joma Tech,Cool Kids Code In Javascript (PART 3),2018-08-16 16:00:02+00:00,125850,3746,349,8.33,False,Thursday,16,37,0.03253873659117998
Joma Tech,Interview with Ex-Citadel Quant Turned Rapper (ft. Kaido Kid),2018-08-09 16:00:05+00:00,502580,9672,623,19.5,False,Thursday,16,61,0.020484301006804886
Joma Tech,Learning How To Code to Build My Startup,2018-08-02 16:00:05+00:00,372781,13186,822,13.58,False,Thursday,16,40,0.037577022434083285
Joma Tech,"Software Engineer Gets ""LIT"" During Offsite (ft. THE TECHLEAD)",2018-07-23 01:34:12+00:00,66079,1578,185,7.37,False,Monday,1,62,0.02668018583816341
Joma Tech,The Most Important Thing I've Learned Working at Untitled Large Company,2018-07-19 16:00:04+00:00,65808,2477,238,7.07,False,Thursday,16,71,0.041256382202771696
Joma Tech,Interview with my Ex-Girlfriend,2018-07-12 16:02:54+00:00,136923,3046,293,6.83,False,Thursday,16,31,0.024385968756162224
Joma Tech,Data Scientist Apartment Tour in Silicon Valley,2018-07-09 19:00:08+00:00,573747,12791,685,8.95,False,Monday,19,47,0.02348770451087326
Joma Tech,3 Types of Data Science Interview Questions,2018-07-01 02:37:00+00:00,655245,22506,581,8.15,False,Sunday,2,43,0.03523414905874902
Joma Tech,What REALLY is Data Science? Told by a Data Scientist,2018-06-23 01:51:50+00:00,4042816,152808,3742,10.55,False,Saturday,1,53,0.038723008912599534
Joma Tech,Interview with a Quant from Two Sigma (My brother),2018-06-10 23:00:01+00:00,1044782,22488,880,20.08,False,Sunday,23,50,0.022366388394899607
Joma Tech,Tech Startup Hires a Data Engineer To Grow Their App,2018-06-02 07:23:10+00:00,460765,10965,521,10.5,False,Saturday,7,52,0.024928108688811
Joma Tech,5 Tips To Improve Productivity,2018-05-18 03:00:05+00:00,346982,13525,500,6.18,False,Friday,3,30,0.04041996414799615
Joma Tech,Sexy Javascript Coding Part 2 + I'm moving out,2018-05-10 07:55:11+00:00,130260,4122,358,11.68,False,Thursday,7,46,0.03439275295562721
Joma Tech,Software Engineering Q&A While Cooking! (ft. Mayuko!),2018-04-27 14:51:04+00:00,999534,19556,1016,17.43,False,Friday,14,53,0.02058159102141598
Joma Tech,Cool Kids Code In Javascript (with SEXY CODING FOOTAGE),2018-04-22 19:00:00+00:00,411830,11670,719,11.32,False,Sunday,19,55,0.03008280115581672
Joma Tech,16-Year-Old Learns How To Code,2018-04-16 15:00:02+00:00,415895,10421,713,12.78,False,Monday,15,30,0.02677118022577814
Joma Tech,A Day In The Life Of A YouTuber (Realistically...),2018-04-10 06:13:01+00:00,112926,2608,286,7.13,False,Tuesday,6,50,0.025627402015479164
Joma Tech,Top 10 Software Engineering Internships (Salaries Revealed!),2018-04-08 05:36:06+00:00,479734,11372,644,26.27,False,Sunday,5,60,0.025047213664238933
Joma Tech,Computer Science New Grad Apartment Tour in Silicon Valley,2018-04-04 06:39:04+00:00,149291,2839,329,12.1,False,Wednesday,6,58,0.021220301290767695
Joma Tech,How Startups Deal With Competition And Marketing,2018-04-01 16:00:05+00:00,277978,7524,324,10.7,False,Sunday,16,48,0.02823245005000396
Joma Tech,5 Tips For Getting A Data Science Job,2018-03-21 05:33:01+00:00,712023,25164,905,13.95,False,Wednesday,5,37,0.0366125813351535
Joma Tech,"Software Engineers ""Work"" From Home Snowboarding",2018-03-18 09:37:10+00:00,556962,10448,469,15.03,False,Sunday,9,48,0.019600978163680824
Joma Tech,"Engineers Stay For $1,000/Night On Ski Trip (Airbnb)",2018-03-17 07:18:43+00:00,110053,2261,167,8.73,False,Saturday,7,52,0.02206209735309351
Joma Tech,Best Year Of My Life - Keep Grinding,2018-03-12 15:01:13+00:00,132776,5369,448,4.42,False,Monday,15,36,0.04381062842682412
Joma Tech,Interview with a Software Engineer without CS Degree,2018-03-07 05:18:14+00:00,319553,6771,375,20.35,False,Wednesday,5,52,0.022362487599866063
Joma Tech,Startup Software Engineers Build An MVP (Minimum Viable Product),2018-03-01 17:00:03+00:00,509620,11863,605,12.65,False,Thursday,17,64,0.024465287861543894
Joma Tech,Startup Episode 4 Teaser,2018-02-19 08:35:58+00:00,17900,491,82,0.63,True,Monday,8,24,0.03201117318435754
Joma Tech,Interview with a Software Engineer from Stanford,2018-02-13 06:51:20+00:00,928972,15634,905,20.37,False,Tuesday,6,48,0.017803550591406415
Joma Tech,Hiring My First Employees for my Tech Startup,2018-02-01 17:00:01+00:00,656634,14471,590,10.05,False,Thursday,17,45,0.02293667400713335
Joma Tech,Bitcoin Millionaire Pitches His Startup Idea,2018-01-02 00:00:00+00:00,863313,20934,873,12.23,False,Tuesday,0,44,0.025259668277901527
Joma Tech,Interview with an iOS Engineer (ft. Mayuko),2017-12-07 20:00:02+00:00,784990,14897,674,20.9,False,Thursday,20,43,0.019835921476706708
Joma Tech,Ex Facebook Engineer Starts His First Startup Vlog,2017-10-03 04:25:30+00:00,2195794,51843,1397,9.32,False,Tuesday,4,50,0.0242463546216084
