channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Ken Jee,So You Think You Can ANALYZE? (Data Content Creator Hackathon),2024-09-21 15:46:36+00:00,42687,1513,96,34.35,False,Saturday,15,62,0.03769297444186755
Ken Jee,Moving On,2024-04-22 10:00:19+00:00,12396,505,91,4.72,False,Monday,10,9,0.04808002581477896
Ken Jee,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30 12:00:22+00:00,4606,95,25,6.83,False,Thursday,12,49,0.026052974381241857
Ken Jee,A Data Dream Come True,2023-11-17 12:00:28+00:00,2639,99,23,12.63,False,Friday,12,22,0.046229632436528986
Ken Jee,The Death of the Full-Time Job,2023-09-22 11:46:35+00:00,6743,427,78,7.15,False,Friday,11,30,0.0748924810915023
Ken Jee,How to Survive a Down Data Job Market,2023-09-05 10:50:39+00:00,18121,610,64,9.93,False,Tuesday,10,37,0.03719441531924287
Ken Jee,The Harsh Reality of the Data Job Market,2023-08-24 11:30:19+00:00,109751,2618,287,6.72,False,Thursday,11,40,0.026469007116108282
Ken Jee,7 Industries AI will Aggressively Disrupt,2023-08-14 11:30:19+00:00,7008,263,42,10.75,False,Monday,11,41,0.0435216894977169
Ken Jee,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07 17:57:05+00:00,4736,138,48,10.2,False,Monday,17,61,0.03927364864864865
Ken Jee,7 Enticing Jobs AI Will Create,2023-07-24 12:00:01+00:00,4994,203,37,8.4,False,Monday,12,30,0.048057669203043656
Ken Jee,The ChatGPT Code Interpreter is OVERRATED,2023-07-22 09:42:29+00:00,4332,147,31,5.13,False,Saturday,9,41,0.041089566020313946
Ken Jee,Exciting Announcement!,2023-06-23 17:28:36+00:00,6770,295,50,4.83,False,Friday,17,22,0.05096011816838995
Ken Jee,AI: A Customer Service Revolution?,2023-05-26 12:00:21+00:00,4196,126,35,9.73,False,Friday,12,34,0.03836987607244995
Ken Jee,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16 12:00:25+00:00,78483,2344,52,61.03,False,Tuesday,12,81,0.03052890434871246
Ken Jee,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04 12:04:56+00:00,37430,1515,76,8.72,False,Thursday,12,62,0.042506011220945765
Ken Jee,This AI question will determine our future,2023-04-06 13:00:32+00:00,4401,258,38,6.28,False,Thursday,13,42,0.06725744149057032
Ken Jee,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03 13:00:27+00:00,71740,829,78,7.78,False,Monday,13,47,0.012642877056035685
Ken Jee,Your current portfolio is actually hurting you #shorts,2023-03-30 13:00:37+00:00,9804,548,5,0.7,True,Thursday,13,54,0.056405548755609956
Ken Jee,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27 13:00:41+00:00,8343,443,3,0.77,True,Monday,13,59,0.05345798873306964
Ken Jee,you're job searching wrong. #shorts,2023-03-23 13:00:35+00:00,4723,270,3,0.65,True,Thursday,13,35,0.05780224433622697
Ken Jee,The Economics of Data Roles #shorts,2023-03-21 13:00:15+00:00,11277,652,13,0.73,True,Tuesday,13,35,0.058969584109248914
Ken Jee,Why your phone knows everything you say #shorts,2023-03-18 13:00:42+00:00,4115,186,8,0.78,True,Saturday,13,47,0.04714459295261239
Ken Jee,Read these for a successful career. #shorts,2023-03-16 01:19:35+00:00,3376,253,2,0.77,True,Thursday,1,43,0.07553317535545023
Ken Jee,Is Your Phone Actually Listening to You? #shorts,2023-03-09 13:00:01+00:00,3352,57,5,0.58,True,Thursday,13,48,0.018496420047732696
Ken Jee,How I Realized I Was a Bad Manager #shorts,2023-03-07 13:00:11+00:00,3352,144,1,0.75,True,Tuesday,13,42,0.043257756563245826
Ken Jee,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03 13:00:07+00:00,21290,777,50,7.08,False,Friday,13,62,0.03884452794739314
Ken Jee,Why I Quit Data Science... and then crawled back #shorts,2023-03-01 13:00:17+00:00,9288,290,12,0.77,True,Wednesday,13,56,0.03251507321274763
Ken Jee,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27 13:00:32+00:00,2964,178,2,0.58,True,Monday,13,61,0.06072874493927125
Ken Jee,Learning On the companies dime #shorts,2023-02-24 17:00:13+00:00,3387,181,1,0.6,True,Friday,17,38,0.05373486861529377
Ken Jee,The Best Way to Transition to Data Science? #shorts,2023-02-21 17:13:47+00:00,5094,303,6,0.63,True,Tuesday,17,51,0.06065959952885748
Ken Jee,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17 13:00:03+00:00,7519,412,6,0.55,True,Friday,13,56,0.055592499002526934
Ken Jee,Don't Go into Data for the Money #shorts,2023-02-15 10:00:37+00:00,3919,219,12,0.73,True,Wednesday,10,40,0.05894360806328145
Ken Jee,First Data Science Project? Watch This.,2023-02-13 13:00:36+00:00,8866,398,25,4.75,False,Monday,13,39,0.04771035416196707
Ken Jee,How to Approach Applying for a Data Role #shorts,2023-02-08 13:00:39+00:00,3773,245,7,0.63,True,Wednesday,13,48,0.06679035250463822
Ken Jee,The Hard Reality of Data Science Work #shorts,2023-02-06 19:35:25+00:00,18296,933,16,0.68,True,Monday,19,45,0.051869261040664624
Ken Jee,How Much Money Does a Data Scientist Make? #shorts,2023-02-03 12:00:03+00:00,5403,205,6,0.67,True,Friday,12,50,0.039052378308347215
Ken Jee,These 3 Things Make Data Science Special #shorts,2023-02-01 12:00:12+00:00,4581,357,7,0.98,True,Wednesday,12,48,0.0794586334861384
Ken Jee,Will Data Science Be Automated? #shorts,2023-01-27 11:00:44+00:00,10749,440,10,0.62,True,Friday,11,39,0.041864359475300025
Ken Jee,Is Data Science A Good Fit For You? #shorts,2023-01-25 11:00:05+00:00,5568,303,10,0.65,True,Wednesday,11,43,0.05621408045977012
Ken Jee,5 Books I Wish I Read Earlier In My Career,2023-01-23 15:31:48+00:00,9967,527,49,3.17,False,Monday,15,42,0.05779070934082472
