channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Kevin Powell,:has() is more than a parent selector,2025-07-09 13:01:14+00:00,10726,902,43,11.75,False,Wednesday,13,37,0.08810367331717323
Kevin Powell,Breaking Through the ShadowDOM with Style Queries,2025-07-02 13:01:31+00:00,14863,667,20,13.85,False,Wednesday,13,49,0.04622216241673956
Kevin Powell,Style selected text using ::selection,2025-06-26 13:01:19+00:00,10303,410,9,1.3,False,Thursday,13,37,0.04066776666990197
Kevin Powell,Easier Site-Wide Theming with Style Queries,2025-06-25 16:27:43+00:00,22080,1233,36,6.08,False,Wednesday,16,43,0.05747282608695652
Kevin Powell,Take control of your list styling with ::marker,2025-06-19 13:00:22+00:00,12987,447,8,1.38,False,Thursday,13,47,0.035035035035035036
Kevin Powell,Getting started with CSS Style Queries,2025-06-18 12:56:54+00:00,29272,1227,73,17.8,False,Wednesday,12,38,0.04441104126810604
Kevin Powell,Seems that not enough people know about these pseudo-elements,2025-06-16 13:01:38+00:00,11786,707,30,7.78,False,Monday,13,61,0.06253181741048702
Kevin Powell,I challenge a CSS Magician to a CSS Battle!,2025-06-13 13:01:13+00:00,54035,1679,85,20.85,False,Friday,13,43,0.032645507541408346
Kevin Powell,The State of CSS 2025 survey,2025-06-12 19:22:38+00:00,7842,279,7,188.67,False,Thursday,19,28,0.03647028819178781
Kevin Powell,Make Any Text Instantly Selectable,2025-06-12 13:00:52+00:00,110363,4160,55,0.68,True,Thursday,13,34,0.0381921477306706
Kevin Powell,Create this trendy blurry glass effect with CSS,2025-06-11 13:01:09+00:00,41091,2340,116,19.1,False,Wednesday,13,47,0.05976977927039984
Kevin Powell,:has() is more than a parent selector,2025-06-05 13:01:03+00:00,26830,1232,27,2.3,False,Thursday,13,37,0.046925083861349234
Kevin Powell,Make an animated glowing border effect with CSS,2025-06-04 13:00:37+00:00,35312,2117,110,30.17,False,Wednesday,13,47,0.06306637970095152
Kevin Powell,Easily transition to and from display none,2025-05-29 13:01:54+00:00,21247,1199,42,2.35,False,Thursday,13,42,0.05840824587000518
Kevin Powell,Form Styling Essentials | The basics to modern CSS tips & tricks,2025-05-28 13:01:27+00:00,30914,1721,88,19.45,False,Wednesday,13,64,0.058517176683703175
Kevin Powell,Pro Developer Tries to Survive CSS Hell,2025-05-23 13:02:01+00:00,22969,626,30,45.68,False,Friday,13,39,0.028560233358004266
Kevin Powell,The most important CSS update we've seen in a long time,2025-05-22 19:16:26+00:00,16089,369,17,168.85,False,Thursday,19,55,0.0239915470197029
Kevin Powell,:placeholder-shown is more powerful than you might realize,2025-05-22 13:01:36+00:00,30481,1657,29,1.9,False,Thursday,13,58,0.05531314589416358
