channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Love Babbar,How to approach SYSTEM DESIGN PROBLEMS 2025,2025-06-11 10:30:37+00:00,7575,240,43,44.35,False,Wednesday,10,43,0.03735973597359736
Love Babbar,Launching LIVE Data Structures & Algorithms Course [ Supreme 4.0 Batch ] 🔥 🔥,2025-03-30 07:37:22+00:00,395605,4939,144,14.42,False,Sunday,7,76,0.01284867481452459
Love Babbar,How can a HASHTAG crash Delivery System for *6 HOURS*,2024-12-08 10:48:15+00:00,49763,1655,302,31.45,False,Sunday,10,53,0.039326407169985735
Love Babbar,Watch this before Buying a **CODING LAPTOP** in 2024 || Best Coding/Editing/Gaming Laptop Guide 2024,2024-07-21 08:00:02+00:00,89276,2062,276,32.87,False,Sunday,8,100,0.0261884493032842
Love Babbar,This happens after giving 108 Software INTERVIEWs,2024-07-16 08:45:14+00:00,49270,2438,153,13.58,False,Tuesday,8,49,0.052587781611528314
Love Babbar,MASTER the APTITUDE Test for PLACEMENTS 🚀 FREE Resources Inside 🔥,2024-07-14 08:16:33+00:00,332256,11821,272,8.32,False,Sunday,8,65,0.03639663392083213
Love Babbar,See HOW he Cracked an INTERNATIONAL Placement Offer,2024-07-13 10:51:58+00:00,12018,643,55,19.3,False,Saturday,10,51,0.05807954734564819
Love Babbar,TOP 1% use this HACK before their Software INTERVIEW,2024-07-11 07:55:25+00:00,36211,2244,144,13.6,False,Thursday,7,52,0.06594681174228825
Love Babbar,Experience as a Judge at crazy Innovation challenge in Bangalore,2024-04-27 07:42:27+00:00,24025,819,69,7.03,False,Saturday,7,64,0.03696149843912591
Love Babbar,Learn Data Structures and Algorithms as Absolute Beginner in 2024,2024-04-09 09:09:59+00:00,66166,2047,287,12.78,False,Tuesday,9,65,0.035274914608711426
Love Babbar,Launching LIVE Data Structures & Algorithms BootCamp || Complete Placement Course 2024,2024-04-07 07:41:21+00:00,211648,7064,718,12.75,False,Sunday,7,86,0.03676859691563351
Love Babbar,Revealing OFFICIAL CODEHELP LOGO || 28th March 2024,2024-03-28 11:50:10+00:00,12575,518,85,0.57,True,Thursday,11,51,0.04795228628230616
Love Babbar,Create these CODING PROJECTS to get a SOFTWARE JOB in 2024,2024-03-26 09:56:37+00:00,120169,4993,196,13.9,False,Tuesday,9,58,0.04318085363113615
Love Babbar,SOLVE any DSA QUESTION using this 7-STEP Strategy,2024-03-25 10:34:08+00:00,117738,5135,176,10.15,False,Monday,10,49,0.04510863102821519
Love Babbar,Top 5 DSA Projects for Resume with CODE! | Get A High Paying Job In 2024,2024-03-17 10:30:04+00:00,218194,8459,240,11.13,False,Sunday,10,72,0.03986819069268632
Love Babbar,My FIRST REACTION on Devin || AI Software Engineer,2024-03-16 10:38:01+00:00,180259,6453,482,9.12,False,Saturday,10,50,0.03847242023976612
Love Babbar,How Indian Software Engineer Industry is CHANGING in 2024 || My Honest Opinion,2024-03-15 10:30:09+00:00,159210,7157,684,12.07,False,Friday,10,78,0.049249419006343824
