channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Luke Barousse,Power BI for Data Analytics - Full Course for Beginners,2025-06-11 12:00:29+00:00,78373,2734,241,504.52,False,Wednesday,12,55,0.03795950135888635
Luke Barousse,SQL for Data Analytics – Intermediate Course + Project,2025-03-31 12:00:36+00:00,45597,1475,191,386.28,False,Monday,12,54,0.03653749150163388
Luke Barousse,How I Would Learn to be a Data Analyst,2025-01-17 13:00:22+00:00,124786,6237,173,10.37,False,Friday,13,38,0.051367941916561154
Luke Barousse,Excel Copilot: Future of Spreadsheets or Overhyped?,2024-12-23 13:30:36+00:00,28792,502,45,10.97,False,Monday,13,51,0.018998332870241733
Luke Barousse,ChatGPT for Data Analytics - Full Tutorial,2024-11-20 13:00:11+00:00,34721,1092,59,37.67,False,Wednesday,13,42,0.03314996687883413
Luke Barousse,How I Use Notion: Tutorial for Beginners,2024-11-13 13:00:50+00:00,53135,1148,56,33.57,False,Wednesday,13,40,0.022659264138515104
Luke Barousse,Excel for Data Analytics - Full Course for Beginners,2024-10-14 12:01:06+00:00,987812,28076,1276,659.72,False,Monday,12,52,0.029714156134973052
Luke Barousse,Python for Data Analytics - Full Course for Beginners,2024-06-07 12:01:05+00:00,773453,23411,701,669.68,False,Friday,12,53,0.031174486361808668
Luke Barousse,Study: GPT-4 outperforms Data Analysts,2024-04-02 21:44:15+00:00,89585,2227,310,11.57,False,Tuesday,21,38,0.028319473126081376
Luke Barousse,Should you still learn to code? (ft. Devin),2024-03-22 00:05:27+00:00,53494,1285,128,9.53,False,Friday,0,43,0.02641417729091113
Luke Barousse,SQL for Data Analytics - Learn SQL in 4 Hours,2024-03-11 10:00:11+00:00,860232,24578,916,248.68,False,Monday,10,45,0.02963619116703401
Luke Barousse,Gemini is Here - Is this the End of ChatGPT?,2024-02-09 04:48:51+00:00,42656,1088,66,10.98,False,Friday,4,44,0.027053638409602402
Luke Barousse,How I Code Faster - GitHub Copilot,2024-02-03 22:08:14+00:00,67537,1094,48,10.82,False,Saturday,22,34,0.01690924974458445
Luke Barousse,ChatGPT for Data Analytics: Full Course,2024-01-27 00:01:38+00:00,711501,10159,181,215.5,False,Saturday,0,39,0.014532657016645092
Luke Barousse,Microsoft Copilot - Excel has forever changed,2024-01-17 03:25:17+00:00,1013316,12731,340,10.08,False,Wednesday,3,45,0.012899233802683466
Luke Barousse,How I'd Learn to be a Data Analyst in 2024,2024-01-12 18:51:50+00:00,305205,9372,216,13.28,False,Friday,18,42,0.03141495060696908
Luke Barousse,Top Apps I Use as a Data Analyst,2024-01-04 13:00:04+00:00,42361,1542,72,16.65,False,Thursday,13,32,0.03810108354382569
Luke Barousse,ChatGPT’s Best Plugin Was Terminated,2023-12-21 21:46:35+00:00,18217,430,31,8.45,False,Thursday,21,36,0.02530603282648076
Luke Barousse,I paid $16 for Grok... so you don’t have to,2023-12-14 14:00:00+00:00,31928,654,65,9.73,False,Thursday,14,43,0.02251941869205713
Luke Barousse,Google Lied To Us,2023-12-08 20:20:09+00:00,24952,876,68,4.48,False,Friday,20,17,0.03783263866623918
Luke Barousse,Gemini - Google's Competitor to ChatGPT,2023-12-07 03:34:39+00:00,37350,685,59,8.57,False,Thursday,3,39,0.01991967871485944
Luke Barousse,I Built A Python Project WITHOUT Coding,2023-12-06 13:00:44+00:00,13438,608,54,14.97,False,Wednesday,13,39,0.04926328322667064
Luke Barousse,How to be a top Swiftie? 🎧📊,2023-11-30 23:31:05+00:00,13830,476,14,0.95,True,Thursday,23,27,0.035430224150397684
Luke Barousse,ChatGPT for Data Analytics: Beginner Tutorial,2023-11-27 13:00:47+00:00,95292,2387,117,67.17,False,Monday,13,45,0.026277127146035344
Luke Barousse,Excel's Major Upgrade: CoPilot (Microsoft Event Recap),2023-09-26 11:30:10+00:00,151232,2052,111,5.73,False,Tuesday,11,54,0.014302528565382987
Luke Barousse,This ChatGPT Change is HUGE for Data Analysts,2023-09-17 13:00:12+00:00,23525,863,66,5.52,False,Sunday,13,45,0.03948990435706695
Luke Barousse,Python In Excel: Microsoft Changed EVERYTHING,2023-09-06 12:00:34+00:00,453853,7002,342,14.62,False,Wednesday,12,45,0.016181450822182513
Luke Barousse,ChatGPT's 'Advanced Data Analysis' is OBSOLETE ☠️ (formerly called 'Code Interpreter'),2023-08-20 17:34:34+00:00,117918,2041,117,10.23,False,Sunday,17,86,0.018300853135229566
Luke Barousse,The End of Data Analysts?!? (ChatGPT's Code Interpreter),2023-07-26 21:53:06+00:00,245967,4374,313,10.65,False,Wednesday,21,56,0.01905540174088394
Luke Barousse,How I use ChatGPT as a Data Analyst,2023-07-07 20:22:48+00:00,294717,4953,192,13.68,False,Friday,20,35,0.017457425258807602
