channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Neso Academy,Introducing Neso Academy Course Certifications 🎓 #NesoAcademy #Certificate,2025-07-10 14:00:02+00:00,3035,130,3,1.23,False,Thursday,14,74,0.043822075782537065
Neso Academy,Difference between / and // in Python #Python #NesoAcademy #QuickConcepts,2025-07-09 13:30:40+00:00,11254,439,3,1.27,False,Wednesday,13,73,0.03927492447129909
Neso Academy,Range of Integers in C++,2025-07-08 13:31:03+00:00,1403,48,9,9.85,False,Tuesday,13,24,0.040627227369921595
Neso Academy,How C++ got its Name? #CPlusPlus NesoAcademy #QuickConcepts,2025-07-07 13:30:30+00:00,4710,96,1,0.87,True,Monday,13,59,0.02059447983014862
Neso Academy,Need for Data Types in C++,2025-07-06 13:30:51+00:00,1984,55,8,13.55,False,Sunday,13,26,0.031754032258064516
Neso Academy,Difference between is and == Operators in Python #Python #NesoAcademy #QuickConcepts,2025-07-04 14:00:28+00:00,9915,181,7,1.65,False,Friday,14,84,0.018961169944528494
Neso Academy,Types of Literal Constants in C++,2025-07-03 13:30:32+00:00,1608,42,6,24.55,False,Thursday,13,33,0.029850746268656716
Neso Academy,Benefits of Learning C++ Programming #CPlusPlus #NesoAcademy #QuickConcepts,2025-06-30 13:30:38+00:00,11159,616,7,1.37,False,Monday,13,75,0.05582937539206022
Neso Academy,Literal Constants in C++,2025-06-29 13:30:40+00:00,2006,49,8,9.0,False,Sunday,13,24,0.028414755732801594
Neso Academy,Enumerated Constants in C++,2025-06-27 14:01:32+00:00,2107,55,11,23.08,False,Friday,14,27,0.03132415757000474
Neso Academy,Type Casting to Mix Types in Python #Python #NesoAcademt #QuickConcepts,2025-06-25 13:30:55+00:00,5799,113,4,1.12,False,Wednesday,13,71,0.02017589239524056
Neso Academy,Macros in C++,2025-06-24 14:45:00+00:00,2351,64,16,23.87,False,Tuesday,14,13,0.034028073160357296
Neso Academy,Modifying Immutable Strings in Python #Python #NesoAcademy #QuickConcepts,2025-06-21 13:30:27+00:00,7176,193,3,0.97,True,Saturday,13,73,0.027313266443701228
Neso Academy,C++ Programming 🔴 Live Q&A,2025-06-21 00:18:39+00:00,4039,101,13,32.73,False,Saturday,0,26,0.028224808120821985
Neso Academy,Palindrome Checker in Python #Python #NesoAcademy #QuickConcepts,2025-06-19 13:31:02+00:00,8211,225,8,1.83,False,Thursday,13,64,0.028376568018511752
Neso Academy,Constant Variables in C++,2025-06-18 13:30:26+00:00,2289,73,6,13.22,False,Wednesday,13,25,0.0345128877238969
Neso Academy,Exception Handling in Java | Chapter-9 | Java Programming | nesoacademy.org,2025-06-16 13:30:11+00:00,1410,11,0,0.4,True,Monday,13,75,0.007801418439716312
Neso Academy,Initializing Variables in C++,2025-06-13 13:30:07+00:00,2847,79,11,17.5,False,Friday,13,29,0.03161222339304531
Neso Academy,String Reversal using Slicing #Python #NesoAcademy #QuickConcepts,2025-06-11 13:30:13+00:00,5384,164,2,1.03,False,Wednesday,13,65,0.030832095096582468
Neso Academy,Declaring and Defining Variables in C++,2025-06-10 12:00:47+00:00,2344,54,9,13.55,False,Tuesday,12,39,0.02687713310580205
Neso Academy,String Slicing in Python #Python #NesoAcademy #QuickConcepts,2025-06-08 13:30:13+00:00,7226,199,4,1.78,False,Sunday,13,60,0.028092997508995295
Neso Academy,Identifiers in C++ (Best Practices),2025-06-07 13:30:48+00:00,2345,66,17,11.32,False,Saturday,13,35,0.03539445628997868
Neso Academy,Generate Acronym using split() #Python #NesoAcademy #QuickConcepts,2025-06-06 13:30:48+00:00,7581,216,2,1.63,False,Friday,13,66,0.028756100778261445
Neso Academy,Keywords and Identifiers in C++,2025-06-05 13:30:25+00:00,2306,65,12,9.57,False,Thursday,13,31,0.03339115351257589
Neso Academy,Extract Email Domain with split() #Python #NesoAcademy #QuickConcepts,2025-06-02 13:30:19+00:00,4442,128,6,0.97,True,Monday,13,69,0.030166591625393965
Neso Academy,Your First C++ Program,2025-05-31 13:30:22+00:00,4802,130,22,20.53,False,Saturday,13,22,0.03165347771761766
Neso Academy,File Handling in Python | Chapter-11 | Python Programming | nesoacademy.org,2025-05-28 13:30:46+00:00,3146,35,5,0.77,True,Wednesday,13,75,0.012714558169103624
Neso Academy,Common String Methods in Python #Python #NesoAcademy #QuickConcepts,2025-05-25 13:30:03+00:00,7966,213,0,1.93,False,Sunday,13,67,0.02673863921667085
Neso Academy,Installing C++ IDE,2025-05-24 16:00:34+00:00,3738,103,19,21.5,False,Saturday,16,18,0.03263777421080792
Neso Academy,String Comparison in Python #Python #NesoAcademy #QuickConcepts,2025-05-21 13:30:52+00:00,6598,155,0,1.45,False,Wednesday,13,63,0.02349196726280691
Neso Academy,Versions of C++ Programming Language,2025-05-19 13:30:39+00:00,3779,109,19,8.22,False,Monday,13,36,0.03387139454882244
Neso Academy,String Arithmetic in Python #Python #NesoAcademy #QuickConcepts,2025-05-17 13:30:31+00:00,6727,179,0,1.12,False,Saturday,13,63,0.026609186858926714
