channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Programming with Mosh,"Microsoft laid off 6,000 people… but why?",2025-05-20 11:30:41+00:00,78884,3873,352,3.88,False,Tuesday,11,41,0.05355965721819381
Programming with Mosh,Spring Boot Project: Build a REST API for an E-commerce Platform,2025-04-16 21:49:36+00:00,82572,1776,95,120.28,False,Wednesday,21,64,0.02265901274039626
Programming with Mosh,Part 2 of my Spring Boot course dropping soon!,2025-04-16 12:30:33+00:00,15961,611,9,0.75,True,Wednesday,12,46,0.038844683917047804
Programming with Mosh,How Spring Boot Can Be A Game Changer For Your Career,2025-03-12 13:48:34+00:00,18291,1855,19,2.83,False,Wednesday,13,53,0.10245475917117708
Programming with Mosh,How Spring Boot Can Be A Game Changer For Your Career,2025-03-04 12:01:21+00:00,54933,1381,87,4.08,False,Tuesday,12,53,0.02672346312781024
Programming with Mosh,Spring Boot Tutorial for Beginners [2025],2025-02-26 12:30:48+00:00,365717,7199,311,71.37,False,Wednesday,12,41,0.020535003841768363
Programming with Mosh,You asked for it. It’s finally happening!,2025-02-18 12:30:46+00:00,32677,1155,149,1.25,False,Tuesday,12,41,0.039905744101355695
Programming with Mosh,Python Full Course for Beginners [2025],2025-02-12 12:30:31+00:00,1926201,50984,1334,122.35,False,Wednesday,12,39,0.02716123602884642
Programming with Mosh,Top Programming Languages to Learn in 2025,2025-01-22 12:30:18+00:00,224042,6448,445,4.23,False,Wednesday,12,42,0.030766552699940188
Programming with Mosh,The Complete Cybersecurity Roadmap: Land a Cybersecurity Job in 10 Months,2025-01-14 12:31:01+00:00,315191,12143,382,5.9,False,Tuesday,12,73,0.039737809772487157
Programming with Mosh,From Zero to Blockchain Developer in 10 Months: Complete Roadmap,2025-01-07 12:30:49+00:00,152470,5154,286,4.98,False,Tuesday,12,64,0.035679149996720665
Programming with Mosh,Top Tech Jobs for 2025: High Demand & High Pay,2024-12-27 12:30:58+00:00,27279,1114,46,2.03,False,Friday,12,46,0.04252355291616262
Programming with Mosh,The Best Tech Jobs for 2025: High Demand & High Pay,2024-12-24 13:30:06+00:00,452932,10763,632,5.27,False,Tuesday,13,51,0.02515830190845425
Programming with Mosh,Mosh's Christmas Gift to You!,2024-12-13 16:30:04+00:00,23854,813,114,1.4,False,Friday,16,29,0.03886140689192588
Programming with Mosh,Don't Miss Mosh's Black Friday Sale!,2024-11-25 13:00:11+00:00,14174,547,44,2.23,False,Monday,13,36,0.04169606321433611
Programming with Mosh,Don't Miss Mosh's Black Friday Sale!,2024-11-23 14:00:25+00:00,101629,1123,147,2.23,False,Saturday,14,36,0.012496433104724045
Programming with Mosh,3 Problems with AI-Generated Code,2024-11-15 13:00:19+00:00,86693,3692,394,8.67,False,Friday,13,33,0.04713183301996701
Programming with Mosh,Python Projects for Beginners – Master Problem-Solving! 🚀,2024-09-10 13:01:00+00:00,391052,10108,441,53.0,False,Tuesday,13,57,0.02697595204729806
Programming with Mosh,The Complete DevOps Roadmap,2024-08-15 13:00:08+00:00,399112,12116,371,8.02,False,Thursday,13,27,0.0312869570446391
Programming with Mosh,The Complete Data Analyst Roadmap,2024-08-06 13:00:37+00:00,437939,12517,301,4.13,False,Tuesday,13,33,0.02926891644726777
Programming with Mosh,The Complete Data Science Roadmap,2024-08-01 13:00:08+00:00,433929,14047,356,6.22,False,Thursday,13,33,0.03319206598314471
Programming with Mosh,The Complete Web Development Roadmap,2024-07-25 13:00:16+00:00,646107,18340,595,15.25,False,Thursday,13,36,0.029306291372791195
Programming with Mosh,The Complete Machine Learning Roadmap,2024-07-18 13:00:06+00:00,621202,19770,573,5.42,False,Thursday,13,37,0.03274780184223489
Programming with Mosh,Become a Mobile Developer in 12 Months! 🚀,2024-07-11 13:00:07+00:00,17938,933,21,0.92,True,Thursday,13,41,0.05318318653138589
Programming with Mosh,The Complete App Development Roadmap,2024-07-04 13:01:03+00:00,900291,22593,589,7.87,False,Thursday,13,36,0.025749452121591795
Programming with Mosh,Become a Back-end Developer in 12 Months! 🚀,2024-06-19 13:00:24+00:00,26782,1484,18,0.98,True,Wednesday,13,43,0.056082443432155925
Programming with Mosh,Become a Frontend Developer in 12 Months! 🚀,2024-06-12 13:00:21+00:00,32975,1457,17,0.87,True,Wednesday,13,43,0.04470053070507961
Programming with Mosh,The Complete Backend Developer Roadmap,2024-06-11 13:00:30+00:00,520710,15365,492,8.4,False,Tuesday,13,38,0.030452651187801272
Programming with Mosh,The Complete Frontend Developer Roadmap,2024-05-28 13:00:06+00:00,450357,15706,483,8.9,False,Tuesday,13,39,0.035947037572414776
Programming with Mosh,9 Reasons People Hate JavaScript,2024-05-17 13:00:17+00:00,111572,3821,343,4.75,False,Friday,13,32,0.037321191696841505
Programming with Mosh,Stop Wasting Time on the Wrong Languages,2024-05-10 13:00:03+00:00,21335,1290,31,0.95,True,Friday,13,40,0.06191703773142723
Programming with Mosh,Is Coding Still Worth Learning in 2024?,2024-05-09 13:00:07+00:00,35772,1306,34,0.58,True,Thursday,13,39,0.037459465503745945
Programming with Mosh,How to Get a Programming Job with No Experience,2024-05-08 13:01:00+00:00,22485,1385,30,0.92,True,Wednesday,13,47,0.06293084278407828
Programming with Mosh,Do you need a college degree to be a software engineer?,2024-05-03 13:00:11+00:00,20899,1337,28,0.72,True,Friday,13,55,0.06531412986267285
Programming with Mosh,50 Hour Courses Are a SCAM! Here's Why...,2024-05-02 13:00:28+00:00,17550,953,33,0.53,True,Thursday,13,41,0.05618233618233618
Programming with Mosh,YouTube Tutorials Won't Get You Hired,2024-04-26 13:00:36+00:00,20260,1391,21,0.98,True,Friday,13,37,0.06969397828232972
Programming with Mosh,The FASTEST Way to Learn Coding & Get a Job,2024-04-25 13:00:42+00:00,32417,1383,18,0.52,True,Thursday,13,43,0.04321806459573681
Programming with Mosh,What is Automated Testing,2024-04-23 13:00:17+00:00,11403,561,2,0.7,True,Tuesday,13,25,0.049372972024905724
Programming with Mosh,Is Coding Still Worth Learning in 2024?,2024-04-17 13:00:07+00:00,375802,11362,847,9.55,False,Wednesday,13,39,0.03248785264580816
Programming with Mosh,Never Leave VSCode Again!,2024-04-16 13:00:23+00:00,23475,924,9,0.57,True,Tuesday,13,25,0.0397444089456869
Programming with Mosh,Python in 1 Minute,2024-04-13 14:00:19+00:00,232641,12063,79,1.0,False,Saturday,14,18,0.052192003988978726
Programming with Mosh,Python in 2 Minutes!,2024-04-12 13:01:00+00:00,84818,2508,104,1.98,False,Friday,13,20,0.030795350043622816
Programming with Mosh,Mind-Blowing AI:  This Tool Clones Voices Perfectly!,2024-04-10 13:15:03+00:00,11698,422,12,0.42,True,Wednesday,13,52,0.037100359035732604
