channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Simplilearn,SEO Full Course 2025 | SEO Tutorial for Beginners | SEO Training | SEO Explained | Simplilearn,2025-07-11 10:40:06+00:00,183,10,0,0.0,True,Friday,10,94,0.0546448087431694
Simplilearn,Machine Learning Full Course 2025 | Machine Learning Tutorial For Beginners | Simplilearn,2025-07-11 03:16:10+00:00,1274,111,0,0.0,True,Friday,3,89,0.08712715855572999
Simplilearn,Digital Marketing Full Course 2025 | Digital Marketing Tutorial For Beginners | Simplilearn,2025-07-10 22:51:53+00:00,5918,119,2,714.98,False,Thursday,22,91,0.020446096654275093
Simplilearn,Project Management Full Course 2025 | Project Management Tutorial | PMP Course | Simplilearn,2025-07-10 18:09:24+00:00,4661,110,0,451.87,False,Thursday,18,92,0.023600085818493887
Simplilearn,Learn To Leverage Big Data For Business Intelligence | University of Cambridge Online | Simplilearn,2025-07-10 17:22:19+00:00,462,7,1,7.0,False,Thursday,17,99,0.017316017316017316
Simplilearn,🔥Is UI/UX a Good Career in 2025?#shorts#simplilearn,2025-07-10 16:29:30+00:00,1427,22,0,0.82,True,Thursday,16,51,0.015416958654519973
Simplilearn,🔥Top 5 Gen AI Projects to Land a Job! #shorts #simplilearn,2025-07-10 16:16:48+00:00,1265,32,0,0.87,True,Thursday,16,58,0.025296442687747035
Simplilearn,What is RAG(Retrieval Augmented Generation) | RAG Fundamentals And Advanced Techniques | Simplilearn,2025-07-10 15:30:20+00:00,454,15,1,110.43,False,Thursday,15,100,0.03524229074889868
Simplilearn,Digital Marketing Full Course 2025 | Digital Marketing Tutorial For Beginners | Simplilearn,2025-07-10 15:30:10+00:00,2112,116,8,718.78,False,Thursday,15,91,0.058712121212121215
Simplilearn,Project Management Full Course 2025 | Project Management Tutorial | PMP Course | Simplilearn,2025-07-10 13:30:30+00:00,1060,45,3,441.52,False,Thursday,13,92,0.045283018867924525
Simplilearn,🔥Is Your AI Biased? #shorts #simplilearn,2025-07-09 17:01:48+00:00,1946,21,2,0.92,True,Wednesday,17,40,0.011819116135662899
Simplilearn,🔥Is AWS Certification Still Worth It in 2025? #shorts #simplilearn,2025-07-09 16:36:11+00:00,2011,29,0,0.67,True,Wednesday,16,66,0.014420686225758329
Simplilearn,AWS Full Course 2025 | AWS Cloud Computing Tutorial for Beginners | AWS Training | Simplilearn,2025-07-09 16:00:56+00:00,8636,226,0,409.93,False,Wednesday,16,94,0.02616952292728115
Simplilearn,Lovart AI Tutorial For Beginners | How to Use Lovart AI | Lovart AI Design Agent | Simplilearn,2025-07-09 15:30:18+00:00,1273,41,1,8.97,False,Wednesday,15,94,0.032992930086410056
Simplilearn,WebFlow Course 2025 | Learn WebFlow In 45 Minutes | WebFlow Tutorial For Beginners | Simplilearn,2025-07-09 14:30:33+00:00,465,7,1,45.03,False,Wednesday,14,96,0.017204301075268817
Simplilearn,AWS Full Course 2025 | AWS Cloud Computing Tutorial for Beginners | AWS Training | Simplilearn,2025-07-09 13:30:20+00:00,3149,145,1,397.62,False,Wednesday,13,94,0.0463639250555732
