channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
take U forward,Major Announcement | TUF+ V2 and System Design Playlist 🔥,2025-01-26 04:59:19+00:00,119745,4217,291,19.2,False,Sunday,4,57,0.03764666583155873
take U forward,Launching the best DSA Course + Platform,2024-08-07 12:39:14+00:00,262951,8365,1433,36.48,False,Wednesday,12,40,0.03726169514472278
take U forward,L18. Implement LRU Cache,2024-07-16 17:27:12+00:00,164122,3788,154,24.93,False,Tuesday,17,24,0.024018717783112563
take U forward,L17. The Celebrity Problem | Stack and Queue Playlist,2024-07-16 17:26:12+00:00,78059,2677,110,16.28,False,Tuesday,17,53,0.0357037625385926
take U forward,L16. Sliding Window Maximum | Stack and Queue Playlist,2024-07-16 17:23:43+00:00,106776,2947,98,19.97,False,Tuesday,17,54,0.028517644414475164
take U forward,L15. Stock Span Problem | Stack and Queue Playlist,2024-07-16 17:21:56+00:00,75277,2104,49,19.35,False,Tuesday,17,50,0.028601033516213452
take U forward,L14. Remove K Digits | Stack and Queue Playlist,2024-07-16 17:18:29+00:00,76630,2654,87,15.48,False,Tuesday,17,47,0.03576928096045935
take U forward,L13. Maximal Rectangle | Stack and Queue Playlist,2024-07-16 17:16:37+00:00,61744,2387,72,12.2,False,Tuesday,17,49,0.03982573205493651
take U forward,L12. Largest Rectangle in Histogram | Stack and Queue Playlist,2024-07-16 17:15:27+00:00,139431,3908,166,31.7,False,Tuesday,17,62,0.029218753361877917
take U forward,L11. Aestroid Collisions | Stack and Queue Playlist,2024-07-16 17:14:25+00:00,81897,2875,115,17.47,False,Tuesday,17,51,0.036509273843974746
take U forward,L10. Sum of subarray ranges | Stack and Queue Playlist,2024-07-16 17:11:21+00:00,81316,2602,83,10.57,False,Tuesday,17,54,0.0330193319887845
take U forward,L9. Sum of Subarray Minimum | Stack and Queue Playlist,2024-07-16 17:10:18+00:00,174191,4025,302,23.58,False,Tuesday,17,54,0.0248405485932109
take U forward,L8. Trapping Rainwater | 2 Approaches | Stack and Queue Playlist,2024-07-16 17:08:47+00:00,189332,4605,255,28.97,False,Tuesday,17,64,0.025669194853484883
take U forward,L7. Previous Smaller Element | Stack and Queue Playlist,2024-07-16 17:04:12+00:00,56313,2001,32,8.18,False,Tuesday,17,55,0.036101788219416474
take U forward,L6. Next Greater Element - II | Stack and Queue Playlist,2024-07-16 17:02:30+00:00,120576,3920,133,15.68,False,Tuesday,17,56,0.03361365445859873
take U forward,L5. Next Greater Element | Stack and Queue Playlist,2024-07-16 17:00:35+00:00,184308,5533,89,18.42,False,Tuesday,17,51,0.030503287974477506
take U forward,L4. Implement Min Stack | Stack and Queue Playlist,2024-07-16 16:59:41+00:00,131235,3982,127,20.92,False,Tuesday,16,50,0.03131024498037871
take U forward,L2. Check for Balanced Parentheses | Stack and Queue,2024-07-16 16:54:08+00:00,120360,3768,54,12.47,False,Tuesday,16,52,0.031754735792622134
take U forward,"L3. Prefix, Infix, and Postfix Conversion | Stack and Queue Playlist",2024-07-16 16:49:30+00:00,253797,5308,199,50.78,False,Tuesday,16,68,0.021698444032041356
take U forward,L1. Introduction to Stack and Queue | Implementation using Data Structures,2024-07-16 16:47:38+00:00,500213,7882,270,65.1,False,Tuesday,16,74,0.016297057453524798
take U forward,L13. Fractional Knapsack Algorithm,2024-05-27 04:55:19+00:00,108336,3184,131,18.68,False,Monday,4,34,0.03059924678777138
take U forward,L12. Candy | Slope Approach Intuition Based,2024-05-27 04:53:42+00:00,85175,2968,129,30.17,False,Monday,4,43,0.03636043439976519
take U forward,L11. Valid Parenthesis String | Multiple Approaches,2024-05-27 04:50:28+00:00,113931,3315,124,26.15,False,Monday,4,51,0.030184936496651483
take U forward,L10. Minimum number of platforms required in a railway station,2024-05-27 04:48:13+00:00,92269,3357,178,18.17,False,Monday,4,62,0.03831189240156499
take U forward,L9. Insert Intervals | Greedy Algorithms Playlist,2024-05-27 04:45:40+00:00,72253,2603,69,13.27,False,Monday,4,49,0.03698116341189985
take U forward,L8. Non Overlapping Intervals | Greedy Algorithms Playlist,2024-05-27 04:44:02+00:00,69788,2462,58,8.77,False,Monday,4,58,0.03610935977531954
take U forward,L7. N Meeting in One Room | Greedy Algorithms Playlist,2024-05-27 04:36:58+00:00,103274,3094,82,13.2,False,Monday,4,54,0.030753142126769564
take U forward,L6. Job Sequencing Problem | Greedy Algorithm Playlist,2024-05-27 04:34:06+00:00,124206,3400,127,16.12,False,Monday,4,54,0.028396373766162664
take U forward,L5. Jump Game - II | Greedy Algorithm Playlist,2024-05-22 02:50:38+00:00,148842,4419,174,16.75,False,Wednesday,2,46,0.03085822550086669
