channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Tech Dummies - Narendra Lakshmana Gowda,MICROSERVICES ARCHITECTURE | INTER MICROSERVICES COMMUNICATION | PART - 7,2020-03-07 00:18:52+00:00,146690,2175,110,14.37,False,Saturday,0,73,0.015577067284750154
Tech Dummies - Narendra Lakshmana Gowda,System Design distributed web crawler to crawl Billions of web pages | web crawler system design,2019-07-04 08:30:01+00:00,194956,3950,206,46.02,False,Thursday,8,96,0.021317630644863455
Tech Dummies - Narendra Lakshmana Gowda,System design basics: What is asynchronous processing?,2019-07-03 12:30:01+00:00,35130,750,53,33.6,False,Wednesday,12,54,0.0228579561628238
Tech Dummies - Narendra Lakshmana Gowda,System design basics: Learn about Distributed file systems,2019-07-01 15:36:45+00:00,60547,1151,49,18.68,False,Monday,15,58,0.01981931392141642
Tech Dummies - Narendra Lakshmana Gowda,System design basics: Real-time data processing,2019-06-30 12:30:01+00:00,86930,1165,52,11.95,False,Sunday,12,47,0.013999769929828598
Tech Dummies - Narendra Lakshmana Gowda,System design basics: When to use distributed computing |  how distributed computing works,2019-06-29 13:00:00+00:00,27603,426,17,25.43,False,Saturday,13,90,0.016048980183313407
Tech Dummies - Narendra Lakshmana Gowda,Tinder System design | Dating app system design | tinder software architecture,2019-06-27 12:00:24+00:00,44216,754,58,67.43,False,Thursday,12,78,0.018364392979916773
Tech Dummies - Narendra Lakshmana Gowda,Do you know Distributed transactions?,2019-06-18 11:45:30+00:00,235540,4827,222,31.17,False,Tuesday,11,37,0.02143584953723359
Tech Dummies - Narendra Lakshmana Gowda,How Google searches one document among Billions of documents quickly?,2019-06-17 08:00:51+00:00,192956,3398,141,41.57,False,Monday,8,69,0.018340968925558157
Tech Dummies - Narendra Lakshmana Gowda,what is OPTIMISTIC LOCK?,2019-06-13 17:08:06+00:00,61949,1671,63,18.68,False,Thursday,17,24,0.027990766598330885
Tech Dummies - Narendra Lakshmana Gowda,Transactions Internal implementation write ahead log and locks with banking examples,2019-06-13 16:58:31+00:00,85378,1132,54,20.65,False,Thursday,16,84,0.013891166342617537
Tech Dummies - Narendra Lakshmana Gowda,Watch this before your System design interview!!,2019-06-11 16:04:55+00:00,126449,2154,137,28.3,False,Tuesday,16,48,0.018117976417369848
Tech Dummies - Narendra Lakshmana Gowda,This Rubber Duck can Debug your code !!,2019-06-07 10:55:41+00:00,6997,90,8,3.87,False,Friday,10,39,0.014006002572531085
Tech Dummies - Narendra Lakshmana Gowda,Questions answered by Senior Software architects at software architects meetup Bangalore,2019-01-23 16:10:33+00:00,17674,386,44,26.12,False,Wednesday,16,88,0.024329523593979857
Tech Dummies - Narendra Lakshmana Gowda,Distributed Locks | System design basics,2019-01-17 18:05:55+00:00,141220,2142,157,28.83,False,Thursday,18,40,0.016279563801161308
Tech Dummies - Narendra Lakshmana Gowda,Google Docs System design | part 2| System components explanation micro services arcitecture,2019-01-03 18:52:52+00:00,65483,1153,70,28.2,False,Thursday,18,92,0.01867660308782432
Tech Dummies - Narendra Lakshmana Gowda,Google Docs System design | Part 1| Operational transformation | differentail synchronisation,2019-01-03 18:39:32+00:00,159640,1658,91,36.27,False,Thursday,18,93,0.010955900776747683
Tech Dummies - Narendra Lakshmana Gowda,Dropbox system design | Google drive system design | System design file share and upload,2018-12-05 13:15:09+00:00,273401,4440,308,45.53,False,Wednesday,13,88,0.017366432456355316
Tech Dummies - Narendra Lakshmana Gowda,Learn System design : How distributed datastore works(basics)?,2018-11-28 03:53:00+00:00,62288,1456,68,22.43,False,Wednesday,3,62,0.024466992036989467
