channel_name,title,publishedAt,views,likes,comments,duration_min,is_short,weekday,hour,title_length,engagement
Tushar Roy - Coding Made Simple,System Design : Distributed Database System Key Value Store,2018-07-07 14:33:34+00:00,191979,2255,194,40.92,False,Saturday,14,59,0.012756603586850645
Tushar Roy - Coding Made Simple,System Design Introduction For Interview.,2017-11-27 04:28:22+00:00,576778,11129,283,27.38,False,Monday,4,41,0.019785775463003096
Tushar Roy - Coding Made Simple,System Design : Design messaging/chat service like Facebook Messenger or Whatsapp,2017-11-18 15:58:27+00:00,356225,4687,332,29.27,False,Saturday,15,81,0.014089409783142676
Tushar Roy - Coding Made Simple,Binary Search : Median of two sorted arrays of different sizes.,2017-11-14 04:44:28+00:00,565853,12298,745,24.8,False,Tuesday,4,63,0.02305015613595757
Tushar Roy - Coding Made Simple,System design : Design Autocomplete or Typeahead Suggestions for Google search,2017-11-08 05:09:28+00:00,322247,4419,288,19.7,False,Wednesday,5,78,0.014606807821329601
Tushar Roy - Coding Made Simple,Convex Hull Jarvis March(Gift wrapping algorithm),2017-10-15 03:46:52+00:00,104973,1390,89,18.07,False,Sunday,3,49,0.014089337258152096
Tushar Roy - Coding Made Simple,System Design : Design a service like TinyUrl,2017-05-27 07:59:03+00:00,582331,6849,478,24.17,False,Saturday,7,45,0.012582191228012934
Tushar Roy - Coding Made Simple,Tushar Roy Live Stream,2016-09-10 02:13:43+00:00,0,2,0,0.0,True,Saturday,2,22,inf
Tushar Roy - Coding Made Simple,Burst Balloon Dynamic Programming[Leetcode],2016-07-06 20:19:54+00:00,107160,1181,131,27.37,False,Wednesday,20,43,0.012243374393430385
Tushar Roy - Coding Made Simple,Sum Query in 2D Immutable Array Dynamic Programming,2016-06-16 04:48:18+00:00,52089,790,46,18.57,False,Thursday,4,51,0.016049453819424447
Tushar Roy - Coding Made Simple,Regular Expression Dynamic Programming,2016-06-06 05:03:18+00:00,266036,3485,291,18.57,False,Monday,5,38,0.01419356778781819
Tushar Roy - Coding Made Simple,Lowest Common Ancestor Binary Search Tree,2016-05-05 07:02:00+00:00,77241,1489,74,4.27,False,Thursday,7,41,0.020235367227249775
Tushar Roy - Coding Made Simple,Sparse Table Algorithm Range Minimum Query,2016-05-01 02:41:11+00:00,61394,1211,71,27.55,False,Sunday,2,42,0.02088151936671336
Tushar Roy - Coding Made Simple,Lowest Common Ancestor Binary Tree,2016-04-28 05:05:37+00:00,256270,5740,342,11.13,False,Thursday,5,34,0.023732781831661918
Tushar Roy - Coding Made Simple,Iterative Postorder traversal of binary tree using one stack,2016-04-27 06:35:53+00:00,119022,1826,92,14.08,False,Wednesday,6,60,0.016114667876527027
Tushar Roy - Coding Made Simple,Trie Data Structure,2016-04-26 07:14:53+00:00,416232,7393,399,19.67,False,Tuesday,7,19,0.018720329047262105
Tushar Roy - Coding Made Simple,Combination of Characters in String (All subsets of characters),2016-03-16 05:31:09+00:00,75300,572,39,18.3,False,Wednesday,5,63,0.008114209827357237
Tushar Roy - Coding Made Simple,Morris Inorder Tree Traversal,2016-03-09 06:21:16+00:00,153430,3633,224,11.73,False,Wednesday,6,29,0.02513849964153034
Tushar Roy - Coding Made Simple,N Queen Problem Using Backtracking Algorithm,2016-03-01 07:46:20+00:00,345125,3757,259,18.07,False,Tuesday,7,44,0.011636363636363636
Tushar Roy - Coding Made Simple,Wildcard Matching Dynamic Programming,2016-02-13 07:37:00+00:00,150347,1910,189,16.63,False,Saturday,7,37,0.013961036801532455
Tushar Roy - Coding Made Simple,Coin Changing Minimum Coins Dynamic Programming,2016-02-02 17:36:17+00:00,180225,1438,135,20.8,False,Tuesday,17,47,0.008727978915244832
Tushar Roy - Coding Made Simple,String Permutation Algorithm,2016-01-30 04:36:45+00:00,322344,3085,268,25.15,False,Saturday,4,28,0.01040193085647631
Tushar Roy - Coding Made Simple,Detect Cycle in Directed Graph Algorithm,2016-01-16 03:53:38+00:00,195955,2903,163,10.72,False,Saturday,3,40,0.01564644943992243
Tushar Roy - Coding Made Simple,Skyline Problem,2016-01-15 07:20:40+00:00,198677,2931,197,22.9,False,Friday,7,15,0.015744147535950312
Tushar Roy - Coding Made Simple,Buy/Sell Stock With K transactions To Maximize Profit Dynamic Programming,2016-01-06 08:35:11+00:00,179145,2243,218,29.15,False,Wednesday,8,73,0.013737475229562644
Tushar Roy - Coding Made Simple,Ford Fulkerson Algorithm Edmonds Karp Algorithm For Max Flow,2016-01-03 00:05:37+00:00,183664,2398,180,38.02,False,Sunday,0,60,0.01403650143740744
Tushar Roy - Coding Made Simple,Rabin Karp Substring Search Pattern Matching,2015-12-30 15:52:07+00:00,247089,3059,248,16.95,False,Wednesday,15,44,0.01338384144984196
Tushar Roy - Coding Made Simple,Floyd Warshall Algorithm All Pair Shortest Path Graph Algorithm,2015-12-13 07:39:22+00:00,149366,1353,107,19.43,False,Sunday,7,63,0.00977464751014287
Tushar Roy - Coding Made Simple,Bellman-Ford Algorithm Single Source Shortest Path Graph Algorithm,2015-12-09 07:47:16+00:00,203461,1534,108,21.53,False,Wednesday,7,66,0.00807034271924349
Tushar Roy - Coding Made Simple,Traveling Salesman Problem Dynamic Programming Held-Karp,2015-12-07 07:11:28+00:00,237229,1821,143,20.35,False,Monday,7,56,0.00827892036808316
Tushar Roy - Coding Made Simple,Johnson's Algorithm - All simple cycles in directed graph,2015-11-23 21:58:31+00:00,70619,491,36,26.15,False,Monday,21,57,0.0074625808918279786
Tushar Roy - Coding Made Simple,Red Black Tree Deletion,2015-11-16 03:25:50+00:00,185860,1771,190,34.48,False,Monday,3,23,0.010550952329710536
Tushar Roy - Coding Made Simple,Red Black Tree Insertion,2015-11-09 03:17:29+00:00,238466,2277,197,42.95,False,Monday,3,24,0.01037464460342355
Tushar Roy - Coding Made Simple,Z Algorithm Z values,2015-11-05 08:11:11+00:00,174092,3028,155,24.05,False,Thursday,8,20,0.01828343634400202
Tushar Roy - Coding Made Simple,0/1 Knapsack Problem Top Down Dynamic Programming,2015-10-30 03:40:57+00:00,55771,374,49,15.75,False,Friday,3,49,0.0075845869717236555
Tushar Roy - Coding Made Simple,Dijkstra's Algorithm Single Source Shortest Path Graph Algorithm,2015-10-28 19:41:06+00:00,396687,2650,173,16.33,False,Wednesday,19,64,0.007116441930287607
Tushar Roy - Coding Made Simple,Prim's Algorithm Minimum Spanning Tree Graph Algorithm,2015-10-26 07:03:11+00:00,295989,1857,176,19.22,False,Monday,7,54,0.006868498491497995
Tushar Roy - Coding Made Simple,Kruskal's algorithm Minimum Spanning Tree Graph Algorithm,2015-10-25 05:12:27+00:00,308500,2308,121,8.7,False,Sunday,5,57,0.007873581847649918
Tushar Roy - Coding Made Simple,Coin Change Top down dynamic programming,2015-09-30 17:45:24+00:00,50744,449,28,15.67,False,Wednesday,17,40,0.009400126123285512
